2,GASTOS,S
2.1,GASTOS DE FUNCIONAMIENTO,S
2.1.01,GASTOS DE PERSONAL,S
2.1.01.01,Servicios Personales Asociados a la Nómina,S
2.1.01.01.01,Sueldos de Personal de Nómina,S
2.1.01.01.01.01,Sueldos,D
2.1.01.01.01.02,Sueldos de Vacaciones,D
2.1.01.01.01.04,Incapacidades y Licencia de Maternidad,D
2.1.01.01.01.98,Otros,D
2.1.01.01.03,Gastos de Representación,D
2.1.01.01.05,Bonificación por Servicios Prestados,D
2.1.01.01.07,Bonificación Especial por Recreación,D
2.1.01.01.09,Bonificación por Dirección,D
2.1.01.01.11,Otras Remuneraciones que no son Factor Salarial,D
2.1.01.01.13,Horas Extras y Días Festivos,S
2.1.01.01.13.98,Horas Extras y Dias Festivos - sin diferenciar,D
2.1.01.01.15,Prima de Antigüedad o Incremento de Antigüedad,D
2.1.01.01.17,Prima de Navidad,D
2.1.01.01.19,Prima de Servicios,D
2.1.01.01.21,Prima de Vacaciones,D
2.1.01.01.23,Prima o Subsidio de Alimentación,D
2.1.01.01.25,Prima Técnica,S
2.1.01.01.25.01,Prima Tecnica Salarial,D
2.1.01.01.25.02,Prima Tecnica No Salarial,D
2.1.01.01.27,Prima de Localización,D
2.1.01.01.29,Prima de Coordinación,D
2.1.01.01.30,Prima de Riesgo,D
2.1.01.01.31,Auxilio de Transporte,D
2.1.01.01.33,Indemnización por Vacaciones,D
2.1.01.01.98,Otros Servicios Personales Asociados a la Nómina,D
2.1.01.02,Servicios Personales Indirectos,S
2.1.01.02.03,Honorarios Profesionales,D
2.1.01.02.05,Jornales,D
2.1.01.02.07,Personal Supernumerario,D
2.1.01.02.09,Remuneración por Servicios Técnicos,D
2.1.01.02.11,Remuneración de Aprendices,D
2.1.01.02.98,Otros Servicios Personales Indirectos,D
2.1.01.03,Contribuciones Inherentes a la Nómina,S
2.1.01.03.01,Al Sector Público,S
2.1.01.03.01.01,Aportes Previsión Social,S
2.1.01.03.01.01.01,Cesantías,S
2.1.01.03.01.01.01.01,Fondos de Cesantías (Fondo Nacional del Ahorro),D
2.1.01.03.01.01.01.03,Cajas de Previsión Social,D
2.1.01.03.01.01.03,Pensiones,S
2.1.01.03.01.01.03.01,Fondos de Pensiones,D
2.1.01.03.01.01.03.03,Instituto de Seguros Sociales -ISS-,D
2.1.01.03.01.01.03.05,Cajas de Previsión Social,D
2.1.01.03.01.01.05,Salud,S
2.1.01.03.01.01.05.01,Empresas Promotoras de Salud,D
2.1.01.03.01.01.05.03,Instituto de Seguros Sociales -ISS-,D
2.1.01.03.01.03,Aportes Parafiscales,S
2.1.01.03.01.03.01,Servicio Nacional de Aprendizaje -SENA-,D
2.1.01.03.01.03.03,Instituto Colombiano de Bienestar Familiar -ICBF-,D
2.1.01.03.01.03.05,ESAP y otras Universidades (Ley 21 y 812 de 2003),D
2.1.01.03.01.03.07,Escuelas Industriales e Institutos Técnicos,D
2.1.01.03.01.03.09,Administradoras Riesgos Profesionales,D
2.1.01.03.03,Al Sector Privado,S
2.1.01.03.03.01,Aportes Previsión Social,S
2.1.01.03.03.01.01,Fondos de Cesantías,D
2.1.01.03.03.01.03,Fondos de Pensiones,D
2.1.01.03.03.01.05,Empresas Promotoras de Salud,D
2.1.01.03.03.02,Administradoras Riesgos Profesionales,D
2.1.01.03.03.03,Aportes Parafiscales a las Cajas de Compensación Familiar,D
2.1.01.93,Pagos vigencias anteriores,D
2.1.02,GASTOS GENERALES,S
2.1.02.01,Adquisición de Bienes,S
2.1.02.01.01,Materiales y Suministros,D
2.1.02.01.03,Compra de Equipos,D
2.1.02.01.05,Dotación de personal,D
2.1.02.01.07,Bienestar Social,D
2.1.02.01.98,Otras Adquisiciones de Bienes,D
2.1.02.02,Adquisición de Servicios,S
2.1.02.02.01,Capacitación,D
2.1.02.02.03,Viaticos y Gastos de Viaje,D
2.1.02.02.05,Comunicaciones y Transporte,D
2.1.02.02.07,Servicios Públicos,D
2.1.02.02.09,Seguros,D
2.1.02.02.11,Públicidad,D
2.1.02.02.13,Impresos y Publicaciones,D
2.1.02.02.15,Mantenimiento,D
2.1.02.02.17,Vigilancia,D
2.1.02.02.19,Aseo,D
2.1.02.02.21,Arrendamientos,D
2.1.02.02.23,"Comisiones, Intereses y demás Gastos Bancarios y Fiduciarios",D
2.1.02.02.25,Sistematización,D
2.1.02.02.27,Bienestar Social,D
2.1.02.02.29,Gastos Judiciales,D
2.1.02.02.98,Otras Adquisiciones de servicios,D
2.1.02.03,Impuestos y Multas,D
2.1.02.93,Pagos vigencias anteriores,D
2.1.03,TRANSFERENCIAS CORRIENTES,S
2.1.03.01,Al Sector Público,S
2.1.03.01.01,Al Nivel Nacional,S
2.1.03.01.01.01,Al Nivel Central Nacional,S
2.1.03.01.01.01.01,Indemnizaciones,D
2.1.03.01.01.01.03,Pagos de servicios públicos e impuestos,D
2.1.03.01.01.01.98,Otros Pagos al Nivel Central Nacional,D
2.1.03.01.01.03,A Entidades Descentralizadas Nacionales,S
2.1.03.01.01.03.01,A Entidades No Financieras Nacionales,S
2.1.03.01.01.03.01.01,A Entidades No Financieras Nacionales no consideradas Empresas,S
2.1.03.01.01.03.01.01.01,A las Corporaciones Autonomas Regionales (excluyendo la Sobretasa Ambiental),D
2.1.03.01.01.03.01.01.98,Otros Pagos a Entidades No Financieras Nacionales no consideradas Empresas,D
2.1.03.01.01.03.01.03,A Empresas No Financieras Nacionales,D
2.1.03.01.01.03.03,A Empresas Financieras Nacionales,S
2.1.03.01.01.03.03.01,A Empresas Financieras de Depósito Nacionales,D
2.1.03.01.01.03.03.03,A Empresas Financieras de No Depósito Nacionales,D
2.1.03.01.03,Al Nivel Departamental,S
2.1.03.01.03.01,Al Nivel Central Departamental,D
2.1.03.01.03.03,A Entidades Descentralizadas Departamentales,S
2.1.03.01.03.03.01,A Entidades No Financieras Departamentales,S
2.1.03.01.03.03.01.01,A Entidades No Financieras Departamentales no consideradas Empresas,S
2.1.03.01.03.03.01.01.98,A Otras Entidades No Financieras Departamentales no consideradas Empresas,D
2.1.03.01.03.03.01.03,A Empresas No Financieras Departamentales,D
2.1.03.01.03.03.03,A Empresas Financieras Departamentales,D
2.1.03.01.05,Al Nivel Municipal y/o Distrital,S
2.1.03.01.05.01,Al Nivel Central Municipal y/o Distrital,D
2.1.03.01.05.03,A Entidades Descentralizadas Municipales y/o Distritales,S
2.1.03.01.05.03.01,A Entidades No Financieras Municipales y/o Distritales,S
2.1.03.01.05.03.01.01,A Entidades No Financieras Municipales y/o Distritales no consideradas Empresas,S
2.1.03.01.05.03.01.01.98,A Otras Entidades No Financieras Municipales y/o Distritales no consideradas Empresas,D
2.1.03.01.05.03.01.03,A Empresas No Financieras Municipales y/o Distritales,D
2.1.03.01.05.03.03,A Empresas Financieras Municipales y/o Distritales,D
2.1.03.01.93,Pagos vigencias anteriores,D
2.1.03.02,Transferencias Corrientes de Previsión Social,S
2.1.03.02.01,Cesantías,S
2.1.03.02.01.02,Cesantías definitivas,D
2.1.03.02.01.04,Cesantías parciales,D
2.1.03.02.03,Pensiones,S
2.1.03.02.03.01,Mesadas Pensionales,D
2.1.03.02.03.03,Cuotas  partes pensionales,D
2.1.03.02.05,Salud,D
2.1.03.02.93,Pagos vigencias anteriores,D
2.1.03.02.98,Otras Transferencias Corrientes de Previsión Social,D
2.1.03.98,Otras Transferencias,S
2.1.03.98.01,Pagos a Particulares y Organismos Privados,S
2.1.03.98.01.31,A los Hogares,D
2.1.03.98.01.33,A Empresas Privadas No Financieras,D
2.1.03.98.01.35,A Empresas Privadas Financieras,D
2.1.03.98.03,Pagos a Organismos Internacionales,D
2.1.03.98.05,Cuota de Auditaje,D
2.1.03.98.06,Contribuciones de ley a otras entidades,D
2.1.03.98.07,Sentencias y Conciliaciones,D
2.1.03.98.17,Indemnizaciones por retiros masivos de Personal,D
2.1.03.98.93,Pagos vigencias anteriores,D
2.1.03.98.98,Otras Transferencias,D
2.1.05,Gastos no operacionales,S
2.1.05.01,Perdida en venta de bienes realizables y recibidos en pago,D
2.1.05.03,Perdida en venta propiedades y equipo,D
2.1.05.05,Perdida en venta otros activos,D
2.1.05.07,"Multas, sanciones y litigios",D
2.1.05.98,Otros Gastos no operacionales no especificados,D
2.2,GASTOS DE OPERACIÓN,S
2.2.01,GASTOS DE COMERCIALIZACIÓN,S
2.2.01.01,Compra de Bienes para la Venta,S
2.2.01.01.01,Compras e Importaciones,S
2.2.01.01.01.01,Compra de medicamentos,D
2.2.01.01.01.98,Otras Compras e Importaciones no especificadas,D
2.2.01.01.07,"Materiales, mantenimiento y otros",S
2.2.01.01.07.01,Material medico-quirúrgico,D
2.2.01.01.07.03,Compra de materiales para mantenimiento de hospitales,D
2.2.01.01.07.98,"Otros Materiales, mantenimiento y otros no especificados",D
2.2.01.01.98,Otras Compras de Bienes para la Venta,D
2.2.01.03,Compra de Servicios para la Venta,S
2.2.01.03.03,Servicio de Apoyo diagnóstico,D
2.2.01.03.98,Otras Compras de Servicios para la Venta,D
2.2.01.93,Pagos vigencias anteriores,D
2.2.01.98,Otros Gastos de Comercialización,S
2.2.01.98.01,Servicios CND y SIC (solo sector eléctrico),D
2.2.01.98.03,Pago de premios de loterías valor bruto,S
2.2.01.98.03.01,Porcentaje Impuesto a Ganadores,D
2.2.01.98.03.03,Retención en la fuente,D
2.2.01.98.03.05,Premio neto a pagar,D
