D;91;;Amazonas
D;05;;Antioquia;
D;81;;Arauca;
D;08;;Atlantico;
D;11;;Bogotá D.C. ;
D;13;;Bolivar;
D;15;;Boyaca;
D;17;;Caldas;
D;18;;Caqueta;
D;85;;Casanare;
D;19;;Cauca;
D;20;;Cesar;
D;27;;Choco;
D;23;;Cordoba;
D;25;;Cundinamarca;
D;94;;Guainia;
D;95;;Guajira;
D;41;;Guaviare;
D;44;;Huila;
D;47;;Magdalena;
D;50;;Meta;
D;52;;Narino;
D;54;;N_de_Santander;
D;86;;Putumayo;
D;63;;Quindio;
D;66;;Risaralda;
D;88;;San_Andres;
D;68;;Santander;
D;70;;Sucre;
D;73;;Tolima;
D;76;;Valle;
D;97;;Vaupes;
D;99;;Vichada;
M;91;001;Leticia;
M;91;540;Puerto Nariño;
M;05;001;Medellin;
M;05;002;Abejorral;
M;05;004;Abriaqui;
M;05;021;Alejandria;
M;05;030;Amaga;
M;05;031;Amalfi;
M;05;034;Andes;
M;05;036;Angelopolis;
M;05;038;Angostura;
M;05;040;Anori;
M;05;042;Antioquia;
M;05;044;Anza;
M;05;045;Apartado;
M;05;051;Arboletes;
M;05;055;Argelia;
M;05;059;Armenia;
M;05;079;Barbosa;
M;05;086;Belmira;
M;05;088;Bello;
M;05;091;Betania;
M;05;093;Betulia;
M;05;101;Ciudad Bolivar;
M;05;107;Briceño;
M;05;113;Buritica;
M;05;120;Caceres;
M;05;125;Caicedo;
M;05;129;Caldas;
M;05;134;Campamento;
M;05;138;Cañasgordas;
M;05;142;Caracoli;
M;05;145;Caramanta;
M;05;147;Carepa;
M;05;148;Carmen de Viboral;
M;05;150;Carolina;
M;05;154;Caucacia;
M;05;172;Chicorodo;
M;05;190;Cisneros;
M;05;197;Cocorna;
M;05;206;Concepcion;
M;05;209;Concordia;
M;05;212;Copacavana;
M;05;234;Dabeiba;
M;05;237;Don Matias;
M;05;240;Ebejico;
M;05;250;El Bagre;
M;05;264;Entrerrios;
M;05;266;Envigado;
M;05;282;Fredonia;
M;05;284;Frontino;
M;05;306;Giraldo;
M;05;308;Girardota;
M;05;310;Gomez Plata;
M;05;313;Granada;
M;05;315;Guadalupe;
M;05;318;Guarne;
M;05;321;Guatape;
M;05;347;Heliconia;
M;05;353;Hispania;
M;05;360;Itagui;
M;05;361;Ituango;
M;05;364;Jardin;
M;05;368;Jerico;
M;05;376;La Ceja;
M;05;380;La Estrella;
M;05;390;La Pintada;
M;05;400;La Unión;
M;05;411;Liborina;
M;05;425;Maceo;
M;05;440;Marinilla;
M;05;467;Montebello;
M;05;475;Murindo;
M;05;480;Mutata;
M;05;483;Nariño;
M;05;490;Necocli;
M;05;495;Nechi;
M;05;501;Olaya;
M;05;541;Peñol;
M;05;543;Peque;
M;05;576;Pueblorrico;
M;05;579;Puerto Berrio;
M;05;585;Puerto Nare;
M;05;591;Puerto Triunfo;
M;05;604;Remedios;
M;05;607;Retiro;
M;05;615;Rionegro;
M;05;628;Sabanalarga;
M;05;631;Sabaneta;
M;05;642;Salgar;
M;05;647;San Andres;
M;05;649;San Carlos;
M;05;652;San Francisco;
M;05;656;San Jeronimo;
M;05;658;San Jose de la Montaña;
M;05;659;San Juan de Uraba;
M;05;660;Sab Luis;
M;05;664;San Pedro;
M;05;665;San Pedro de Uraba;
M;05;667;San Rafael;
M;05;670;San Roque;
M;05;674;San Vicente;
M;05;679;Santa Barbara;
M;05;686;Santa Rosa de Osos;
M;05;690;Santo Domingo;
M;05;697;Santuario;
M;05;736;Segovia;
M;05;756;Sonson;
M;05;761;Sopetran;
M;05;789;Tamesis;
M;05;790;Taraza;
M;05;792;Tarso;
M;05;809;Titiribi;
M;05;819;Toledo;
M;05;837;Turbo;
M;05;842;Uramita;
M;05;847;Urrao;
M;05;854;Valdivia;
M;05;856;Valparaiso;
M;05;858;Vegachi;
M;05;861;Venecia;
M;05;873;Vigia del Fuerte;
M;05;885;Yali;
M;05;887;Yarumal;
M;05;890;Yolombo;
M;05;893;Yondo;
M;05;895;Zaragoza;
M;81;001;Arauca;
M;81;065;Arauquita;
M;81;220;Cravo Norte;
M;81;300;Fortul;
M;81;591;Puerto Rondon;
M;81;736;Saravena;
M;81;794;Tame;
M;08;001;Barranquilla;
M;08;078;Baranoa;
M;08;137;Campo de la Cruz;
M;08;141;Candelaria;
M;08;296;Galapa;
M;08;372;Juan de Acosta;
M;08;421;Luruaco;
M;08;433;Malambo;
M;08;436;Manati;
M;08;520;Palmar de Varela;
M;08;549;Piojo;
M;08;558;Polo Nuevo;
M;08;560;Ponedera;
M;08;573;Puerto Colombia;
M;08;606;Repelon;
M;08;634;Sabanagrande;
M;08;638;Sabanalarga;
M;08;675;Santa Lucia;
M;08;685;Santo Tomas;
M;08;758;Soledad;
M;08;770;Suan;
M;08;832;Tubara;
M;08;849;Usiacuri;
M;13;001;Cartagena;
M;13;006;Achi;
M;13;030;Altos del Rosario;
M;13;042;Arenal;
M;13;052;Arjona;
M;13;062;Arroyohondo;
M;13;074;Barranco de Loba;
M;13;140;Calamar;
M;13;160;Cantagallo;
M;13;188;Cicuco;
M;13;212;Cordoba;
M;13;222;Clemencia;
M;13;244;El Carmen de Bolivar;
M;13;248;El Guamo;
M;13;268;El Peñon;
M;13;300;Hatillo de Loba;
M;13;430;Magangue;
M;13;433;Mahates;
M;13;440;Margarita;
M;13;442;Maria la Baja;
M;13;458;Montecristo;
M;13;468;Mompos;
M;13;473;Morales;
M;13;549;Pinillos;
M;13;580;Regidor;
M;13;600;Rio Viejo;
M;13;620;San Cristobal;
M;13;647;San Estanislao;
M;13;650;San Fernando;
M;13;654;San Jacinto;
M;13;655;San Jacinto del Cauca;
M;13;657;San Juan Nepomuceno;
M;13;667;San Martin de Loba;
M;13;670;San Pablo;
M;13;673;Santa Catalina;
M;13;683;Santa Rosa;
M;13;688;Santa Rosa del Sur;
M;13;744;Simiti;
M;13;760;Soplaviento;
M;13;780;Talaigua Nuevo;
M;13;810;Tiquisio;
M;13;836;Turbaco;
M;13;838;Turbania;
M;13;873;Villanueva;
M;13;894;Zambrano;
M;15;001;Tunja;
M;15;022;Almeida;
M;15;047;Aquitania;
M;15;051;Arcabuco;
M;15;087;Belen;
M;15;090;Berbeo;
M;15;092;Beteitiva;
M;15;097;Boavita;
M;15;104;Boyaca;
M;15;106;Briceño;
M;15;109;Buenavista;
M;15;114;Busbanza;
M;15;131;Caldas;
M;15;135;Campohermoso;
M;15;162;Cerinza;
M;15;172;Chinavita;
M;15;176;Chiquinquira;
M;15;180;Chiscas;
M;15;183;Chita;
M;15;185;Chitaraque;
M;15;187;Chivata;
M;15;189;Cienega;
M;15;204;Combita;
M;15;212;Coper;
M;15;215;Corrales;
M;15;218;Covarachia;
M;15;223;Cubara;
M;15;224;Cucaita;
M;15;226;Cuitiva;
M;15;232;Chiquiza;
M;15;236;Chivor;
M;15;238;Duitama;
M;15;244;El Cocuy;
M;15;248;El Espino;
M;15;272;Firavitoba;
M;15;276;Floresta;
M;15;293;Gachantiva;
M;15;296;Gameza;
M;15;299;Garagoa;
M;15;317;Guacamayas;
M;15;322;Guateque;
M;15;325;Guayata;
M;15;332;Guican;
M;15;362;Iza;
M;15;367;Jenesano;
M;15;368;Jerico;
M;15;377;Labranzagrande;
M;15;380;La Capilla;
M;15;401;La Victoria;
M;15;403;La Uvita;
M;15;407;Leiva;
M;15;425;Macanal;
M;15;442;Maripi;
M;15;455;Miraflores;
M;15;464;Mongua;
M;15;466;Mongui;
M;15;469;Moniquira;
M;15;476;Motavita;
M;15;480;Muzo;
M;15;491;Nobsa;
M;15;494;Nuevo Colon;
M;15;500;Oicata;
M;15;507;Otanche;
M;15;511;Pachavita;
M;15;514;Paez;
M;15;516;Paipa;
M;15;518;Pajarito;
M;15;522;Panqueba;
M;15;531;Pauna;
M;15;533;Paya;
M;15;537;Paz del Rio;
M;15;542;Pesca;
M;15;550;Pisba;
M;15;572;Puerto Boyaca;
M;15;580;Quipama;
M;15;599;Ramiriqui;
M;15;600;Raquira;
M;15;621;Rondon;
M;15;632;Saboya;
M;15;638;Sachica;
M;15;646;Samaca;
M;15;660;San Eduardo;
M;15;664;San Jose de Pare;
M;15;667;San Luis de Gaceno;
M;15;673;San Mateo;
M;15;676;San Miguel de Sema;
M;15;681;San Pablo de Borbur;
M;15;686;Santana;
M;15;690;Santa Maria;
M;15;693;Santa Rosa de Viterbo;
M;15;696;Santa Sofia;
M;15;720;Sativanorte;
M;15;723;Sativasur;
M;15;740;Siachoque;
M;15;753;Soata;
M;15;755;Socota;
M;15;757;Socha;
M;15;759;Sogamoso;
M;15;761;Somondoco;
M;15;762;Sora;
M;15;763;Sotaquira;
M;15;764;Soraca;
M;15;774;Susacon;
M;15;776;Sutamarchan;
M;15;778;Sutatenza;
M;15;790;Tazco;
M;15;798;Tenza;
M;15;804;Tibana;
M;15;806;Tibasosa;
M;15;808;Tinjaca;
M;15;810;Tipacoque;
M;15;814;Toca;
