"08";"RESERVAS PRESUPUESTALES Y CUENTAS POR PAGAR";"";"";"";""
"0850";"CUENTAS POR PAGAR CONSTITUIDAS (CR)";"0855";"CUENTAS POR PAGAR PENDIENTES DE CANCELAR (DB)";"0860";"CUENTAS POR PAGAR CANCELADAS (DB)"
"085001";"GASTOS DE PERSONAL";"085501";"GASTOS DE PERSONAL";"086001";"GASTOS DE PERSONAL"
"085002";"GASTOS GENERALES";"085502";"GASTOS GENERALES";"086002";"GASTOS GENERALES"
"085003";"TRANSFERENCIAS CORRIENTES";"085503";"TRANSFERENCIAS CORRIENTES";"086003";"TRANSFERENCIAS CORRIENTES"
"085004";"TRANSFERENCIAS DE CAPITAL";"085504";"TRANSFERENCIAS DE CAPITAL";"086004";"TRANSFERENCIAS DE CAPITAL"
"085005";"GASTOS DE COMERCIALIZACION Y PRODUCCION";"085505";"GASTOS DE COMERCIALIZACION Y PRODUCCION";"086005";"GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN"
"085006";"OTROS GASTOS DE FUNCIONAMIENTO";"085506";"OTROS GASTOS DE FUNCIONAMIENTO";"086006";"OTROS GASTOS DE FUNCIONAMIENTO"
"085007";"SERVICIO DE LA DEUDA PUBLICA INTERNA";"085507";"SERVICIO DE LA DEUDA PUBLICA INTERNA";"086007";"SERVICIO DE LA DEUDA PÚBLICA INTERNA"
"085008";"SERVICIO DE LA DEUDA PUBLICA EXTERNA";"085508";"SERVICIO DE LA DEUDA PUBLICA EXTERNA";"086008";"SERVICIO DE LA DEUDA PÚBLICA EXTERNA"
"085009";"GASTO DE INVERSION - SECTOR DEFENSA Y SEGURIDAD";"085509";"GASTO DE INVERSION - SECTOR DEFENSA Y SEGURIDAD";"086009";"GASTO DE INVERSIÓN - SECTOR DEFENSA Y SEGURIDAD"
"085010";"GASTO DE INVERSION - SECTOR INDUSTRIA Y COMERCIO";"085510";"GASTO DE INVERSION - SECTOR INDUSTRIA Y COMERCIO";"086010";"GASTO DE INVERSIÓN - SECTOR INDUSTRIA Y COMERCIO"
"085011";"GASTO DE INVERSION - SECTOR SALUD";"085511";"GASTO DE INVERSION - SECTOR SALUD";"086011";"GASTO DE INVERSIÓN - SECTOR SALUD"
"085012";"GASTO DE INVERSION - SECTOR COMUNICACIONES";"085512";"GASTO DE INVERSION - SECTOR COMUNICACIONES";"086012";"GASTO DE INVERSIÓN - SECTOR COMUNICACIONES"
"085013";"GASTO DE INVERSION - SECTOR ENERGIA";"085513";"GASTO DE INVERSION - SECTOR ENERGIA";"086013";"GASTO DE INVERSIÓN - SECTOR ENERGÍA"
"085014";"GASTO DE INVERSION - SECTOR TRANSPORTE";"085514";"GASTO DE INVERSION - SECTOR TRANSPORTE";"086014";"GASTO DE INVERSIÓN - SECTOR TRANSPORTE"
"085015";"GASTO DE INVERSION - SECTOR EDUCACION";"085515";"GASTO DE INVERSION - SECTOR EDUCACION";"086015";"GASTO DE INVERSIÓN - SECTOR EDUCACIÓN"
"085016";"GASTO DE INVERSION - SECTOR JUSTICIA";"085516";"GASTO DE INVERSION - SECTOR JUSTICIA";"086016";"GASTO DE INVERSIÓN - SECTOR JUSTICIA"
"085017";"GASTO DE INVERSION - SECTOR MEDIO AMBIENTE";"085517";"GASTO DE INVERSION - SECTOR MEDIO AMBIENTE";"086017";"GASTO DE INVERSIÓN - SECTOR MEDIO AMBIENTE"
"085018";"GASTO DE INVERSION - SECTOR GOBIERNO";"085518";"GASTO DE INVERSION - SECTOR GOBIERNO";"086018";"GASTO DE INVERSIÓN - SECTOR GOBIERNO"
"085019";"GASTO DE INVERSION - SECTOR AGROPECUARIO";"085519";"GASTO DE INVERSION - SECTOR AGROPECUARIO";"086019";"GASTO DE INVERSIÓN - SECTOR AGROPECUARIO"
"085020";"GASTO DE INVERSION - SECTOR SANEAMIENTO BASICO";"085520";"GASTO DE INVERSION - SECTOR SANEAMIENTO BASICO";"086020";"GASTO DE INVERSIÓN - SECTOR SANEAMIENTO BÁSICO"
"085021";"GASTO DE INVERSION - SECTOR TRABAJO Y SEGURIDAD SOCIAL";"085521";"GASTO DE INVERSION - SECTOR TRABAJO Y SEGURIDAD SOCIAL";"086021";"GASTO DE INVERSIÓN - SECTOR TRABAJO Y SEGURIDAD SOCIAL"
"085022";"GASTO DE INVERSION - SECTOR VIVIENDA";"085522";"GASTO DE INVERSION - SECTOR VIVIENDA";"086022";"GASTO DE INVERSIÓN - SECTOR VIVIENDA"
"085023";"GASTO DE INVERSION - SECTOR DESARROLLO COMUNITARIO";"085523";"GASTO DE INVERSION - SECTOR DESARROLLO COMUNITARIO";"086023";"GASTO DE INVERSIÓN - SECTOR DESARROLLO COMUNITARIO"
"085024";"GASTO DE INVERSION - SECTOR ARTE Y CULTURA";"085524";"GASTO DE INVERSION - SECTOR ARTE Y CULTURA";"086024";"GASTO DE INVERSIÓN - SECTOR ARTE Y CULTURA"
"085025";"GASTO DE INVERSION - SECTOR RECREACION Y DEPORTES";"085525";"GASTO DE INVERSION - SECTOR RECREACION Y DEPORTES";"086025";"GASTO DE INVERSIÓN - SECTOR RECREACIÓN Y DEPORTES"
"085026";"GASTO DE INVERSION - OTROS SECTORES";"085526";"GASTO DE INVERSION - OTROS SECTORES";"086026";"GASTO DE INVERSIÓN - OTROS SECTORES"
