;PARA GASTOS DE INVERSION;
1.0;SGP - ALIMENTACIÓN ESCOLAR - SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES - RENDIMIENTOS FINANCIEROS;IVERSION
2.0;SGP - ALIMENTACIÓN ESCOLAR - ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
3.0;SGP -EDUCACIÓN  - SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES -  RENDIMIENTOS FINANCIEROS;IVERSION
4.0;SGP -EDUCACIÓN ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
5.0;SGP - SALUD - SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES - RENDIMIENTOS FINANCIEROS;IVERSION
6.0;SGP - SALUD ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
7.0;SGP -RIBEREÑOS -  SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES - RENDIMIENTOS FINANCIEROS;IVERSION
8.0;SGP - RIBEREÑOS ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
9.0;SGP - AGUA POTABLE Y SANEAMIENTO BÁSICO  - SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES - RENDIMIENTOS FINANCIEROS;IVERSION
10.0;SGP - AGUA POTABLE Y SANEAMIENTO BÁSICO  - ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
11.0;SGP - RECURSOS POR CRECIMIENTO DE LA ECONOMÍA SUPERIOR AL 4% - SGP- SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES - RENDIMIENTOS FINANCIEROS;IVERSION
12.0;SGP - RECURSOS POR CRECIMIENTO DE LA ECONOMÍA SUPERIOR AL 4% - SGP- ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
17.0;INGRESOS CORRIENTES DE LIBRE DESTINACIÓN EXCEPTO EL 42% DE LIBRE DESTINACIÓN DE PROPOSITO GENERAL DE MPIOS DE CATEGORIA 4, 5 Y 6;IVERSION
18.0;INGRESOS CORRIENTES CON DESTINACIÓN ESPECIFICA - RECURSOS PROPIOS;IVERSION
20.0;FOSYGA;IVERSION
22.0;REGALÍAS Y COMPENSACIONES (INCLUYE IMPUESTO DE TRANSPORTE DE OLEODUCTOS Y GASODUCTOS);IVERSION
23.0;FONDO NACIONAL DE REGALÍAS;IVERSION
24.0;ESCALONAMIENTO;IVERSION
25.0;FONDO DE AHORRO Y ESTABILIZACIÓN PETROLERA, FAEP;IVERSION
26.0;FONDO DEPARTAMENTOS DE CORDOBA Y SUCRE;IVERSION
27.0;COFINANCIACIÓN NACIONAL;IVERSION
28.0;APORTES TRANSFERENCIAS Y COFINANCIACIÓN DEPARTAMENTAL;IVERSION
29.0;COFINANCIACIÓN MUNICIPAL;IVERSION
30.0;CRÉDITO INTERNO Y EXTERNO;IVERSION
31.0;OTRAS FUENTES DIFERENTES A LAS ANTERIORES;IVERSION
32.0;No Aplica;IVERSION
33.0;SGP - PROPOSITO GENERAL FORZOSA INVERSIÓN   DEPORTE- SALDOS NO EJECUTADOS NI INCORPORADOS VIGENCIAS ANTERIORES -  RENDIMIENTOS FINANCIEROS;IVERSION
34.0;SGP - PROPOSITO GENERAL  FORZOSA INVERSIÓN DEPORTE -SGP- ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
35.0;SGP - PROPOSITO GENERAL FORZOSA INVERSIÓN  CULTURA-  SALDOS NO EJECUTADOS NI INCORPORADOS VIGENCIAS ANTERIORES -  RENDIMIENTOS FINANCIEROS;IVERSION
36.0;SGP - PROPOSITO GENERAL FORZOSA INVERSIÓN CULTURA- SGP- ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
37.0;SGP - PROPOSITO GENERAL FORZOSA INVERSIÓN LIBRE INVERSIÓN- SALDOS NO EJECUTADOS NI INCORPORADOS VIGENCIAS ANTERIORES -  RENDIMIENTOS FINANCIEROS;IVERSION
38.0;SGP - PROPOSITO GENERAL FORZOSA INVERSIÓN LIBRE INVERSIÓN -SGP- ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
41.0;RENDIMIENTOS FINANCIEROS DE LOS RECURSOS DEL SGP;IVERSION
42.0;1% REGALÍAS Y COMPENSACIONES?ICBF- LEY 1283/2009.;IVERSION
44.0;SGP - PROPOSITO GENERAL - 42% RECURSOS LIBRE DESTINACIÓN -SGP- PROPOSITO GENERAL MPIOS DE CATEGORIA 4, 5 Y 6 -SALDOS NO EJECUTADOS NI INCORPORADOS VIGENCIAS ANTERIORES -  RENDIMIENTOS FINANCIEROS ;IVERSION
45.0;SGP - PROPOSITO GENERAL - 42% RECURSOS LIBRE DESTINACIÓN -SGP- PROPOSITO GENERAL MPIOS DE CATEGORIA 4, 5 Y 6  -SGP ONCE DOCEAVAS VIGENCIA ACTUAL + ULTIMA DOCEAVA VIGENCIA ANTERIOR;IVERSION
46.0;RENTAS CEDIDAS (INCLUYE ETESA);IVERSION
47.0;OTROS RECURSOS DE CAPITAL (RENDIMIENTOS FINANCIEROS, VENTA DE ACTIVOS, DONACIONES, RECURSOS DE BALANCE -INGRESOS CORRIENTES DE LIBRE DESTINACIÓN Y/O INGRESOS CORRIENTES CON DESTINANCIÓN ESPECIFICA);IVERSION
;PARA GASTOS DE FUNCIONAMIENTO;
1.0;MUNICIPIOS  - INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE PROPOSITO GENERAL DE LIBRE DESTINACIÓN ;FUNCIONAMIENTO
2.0;MUNICIPIOS - PARTICIPACIÓN DE PROPOSITO GENERAL DE LIBRE DESTINACIÓN MPIOS DE CATEGORIA 4, 5 Y 6;FUNCIONAMIENTO
3.0;DEPARTAMENTOS - INGRESOS CORRIENTES DE LIBRE DESTINACION;FUNCIONAMIENTO
4.0;SGP EDUCACIÓN CUOTA DE ADMINISTRACIÓN;FUNCIONAMIENTO
5.0;RENTAS CEDIDAS;FUNCIONAMIENTO
6.0;TRANSFERENCIAS DE OTRAS ENTIDADES PARA PAGO DE PENSIONES Y/O CESANTÍAS;FUNCIONAMIENTO
