1;TOTAL GASTOS DE FUNCIONAMIENTO 
1.1;GASTOS DE PERSONAL
1.1.1;SERVICIOS PERSONALES ASOCIADOS A LA NOMINA
1.1.1.1;SUELDOS DE PERSONAL DE NOMINA
1.1.1.10;PAGOS DIRECTOS DE CESANTÍAS PARCIALES Y/O DEFINITIVAS
1.1.1.11;OTROS GASTOS DE PERSONAL ASOCIADOS A LA NÓMINA
1.1.1.2;GASTOS DE REPRESENTACIÓN
1.1.1.3;HORAS EXTRAS Y DÍAS FESTIVOS
1.1.1.4;PRIMAS LEGALES
1.1.1.5;INDEMNIZACIÓN POR VACACIONES
1.1.1.6;BONIFICACIÓN DE DIRECCIÓN
1.1.1.7;AUXILIO DE TRANSPORTE
1.1.1.7.1;DE FUNCIONARIOS
1.1.1.7.2;DE CONCEJALES
1.1.1.8;PRESTACIONES SOCIALES EXTRALEGALES
1.1.1.9;DOTACIÓN DE PERSONAL
1.1.2;INDEMNIZACIÓN DE PERSONAL
1.1.3;SERVICIOS PERSONALES INDIRECTOS
1.1.3.1;HONORARIOS
1.1.3.2;JORNALES
1.1.3.3;PERSONAL SUPERNUMERARIO
1.1.3.4;SERVICIOS TÉCNICOS
1.1.3.6;HONORARIOS DE LOS CONCEJALES
1.1.3.7;OTROS SERVICIOS PERSONALES INDIRECTOS
1.1.4;CONTRIBUCIONES INHERENTES A LA NOMINA
1.1.4.1;AL SECTOR PÚBLICO
1.1.4.1.1;APORTES DE PREVISIÓN SOCIAL
1.1.4.1.1.1;APORTES PARA SALUD
1.1.4.1.1.1.1;DE FUNCIONARIOS 
1.1.4.1.1.1.2;DE CONCEJALES (MUNICIPIOS DE CATEGORÍA 4, 5 Y 6, A PARTIR DE LA VIGENCIA DE LA LEY 1148/07)
1.1.4.1.1.1.4;DE CONCEJALES (MUNICIPIOS DE CATEGORÍA 1, 2 Y 3)
1.1.4.1.1.2;APORTES PARA PENSIÓN
1.1.4.1.1.2.1;DE FUNCIONARIOS
1.1.4.1.1.3;APORTES ARP
1.1.4.1.1.3.1;DE FUNCIONARIOS
1.1.4.1.1.4;APORTES PARA CESANTÍAS
1.1.4.1.1.4.1;DE FUNCIONARIOS
1.1.4.2;AL SECTOR PRIVADO
1.1.4.2.1;APORTES DE PREVISIÓN SOCIAL
1.1.4.2.1.1;APORTES PARA SALUD
1.1.4.2.1.1.1;DE FUNCIONARIOS DE LA ADMINISTRACIÓN CENTRAL
1.1.4.2.1.1.2;DE CONCEJALES (MUNICIPIOS DE CATEGORÍA 4, 5 Y 6, A PARTIR DE LA VIGENCIA DE LA LEY 1148/07)
1.1.4.2.1.1.4;DE CONCEJALES (MUNICIPIOS DE CATEGORÍA 1, 2 Y 3)
1.1.4.2.1.2;APORTES PARA PENSIÓN
1.1.4.2.1.2.1;DE FUNCIONARIOS
1.1.4.2.1.3;APORTES ARP
1.1.4.2.1.3.1;DE FUNCIONARIOS
1.1.4.2.1.4;APORTES PARA CESANTÍAS
1.1.4.2.1.4.1;DE FUNCIONARIOS
1.1.4.3;APORTES PARAFISCALES
1.1.4.3.1;SENA
1.1.4.3.1.1;DE FUNCIONARIOS
1.1.4.3.2;ICBF
1.1.4.3.2.1;DE FUNCIONARIOS
1.1.4.3.3;ESAP
1.1.4.3.3.1;DE FUNCIONARIOS
1.1.4.3.4;CAJAS DE COMPENSACIÓN FAMILIAR
1.1.4.3.4.1;DE FUNCIONARIOS
1.1.4.3.5;INSTITUTOS TÉCNICOS
1.1.4.3.5.1;DE FUNCIONARIOS
1.10;OTROS GASTOS DE FUNCIONAMIENTO
1.2;GASTOS GENERALES
1.2.1;ADQUISICIÓN DE BIENES
1.2.1.1;COMPRA DE EQUIPOS
1.2.1.2;MATERIALES Y SUMINISTROS
1.2.1.9;OTROS GASTOS ADQUISICIÓN DE BIENES
1.2.2;ADQUISICIÓN DE SERVICIOS
1.2.2.1;CAPACITACIÓN PERSONAL ADMINISTRATIVO
1.2.2.10;OTROS GASTOS ADQUISICIÓN DE SERVICIOS
1.2.2.11;MANTENIMIENTO Y REPARACIONES
1.2.2.12;GASTOS FINANCIEROS
1.2.2.12.1;INTERESES DE CRÉDITOS DE TESORERIA
1.2.2.12.2;DIFERENCIAL CAMBIARIO
1.2.2.12.5;OTROS GASTOS FINANCIEROS
1.2.2.19;OTROS GASTOS ADQUISICIÓN DE SERVICIOS
1.2.2.2;IMPRESOS Y PUBLICACIONES
1.2.2.3;SEGUROS
1.2.2.3.1;SEGUROS DE BIENES MUEBLES E INMUEBLES
1.2.2.3.2;SEGUROS  DE VIDA
1.2.2.3.2.1;CONCEJALES
1.2.2.3.2.2;DEL GOBERNADOR O ALCALDE
1.2.2.3.2.3;DE LOS CONCEJALES (MUNICIPIOS DE CATEGORÍA 4, 5 Y 6, A PARTIR DE LA VIGENCIA DE LA LEY 1148/07)
1.2.2.3.2.4;OTROS SEGUROS DE VIDA
1.2.2.3.3;PÓLIZA DE SEGURO DE SALUD PARA CONCEJALES (MUNICIPIOS DE CATEGORÍA 4, 5 Y 6, A PARTIR DE LA VIGENCIA DE LA LEY 1148/07)
1.2.2.3.4;OTROS SEGUROS
1.2.2.3.5;PÓLIZA DE SEGURO DE SALUD PARA CONCEJALES
1.2.2.4;CONTRIBUCIONES, TASAS, IMPUESTOS Y MULTAS
1.2.2.5;ARRENDAMIENTOS
1.2.2.6;SERVICIOS PÚBLICOS
1.2.2.6.1;ENERGÍA
1.2.2.6.2;TELECOMUNICACIONES
1.2.2.6.3;ACUEDUCTO, ALCANTARILLADO Y ASEO
1.2.2.6.4;GAS NATURAL
1.2.2.6.5;OTROS SERVICIOS PÚBLICOS
1.2.2.7;GASTOS VINCULACIÓN DE PERSONAL ARTÍCULO 30 LEY 909 DE 2004
1.2.2.8;VIÁTICOS Y GASTOS DE VIAJE
1.2.2.9;GASTOS ELECTORALES
1.2.4;GASTOS DE BIENESTAR SOCIAL Y SALUD OCUPACIONAL
1.2.9;OTROS GASTOS GENERALES 
1.3;TRANSFERENCIAS CORRIENTES
