TI;INGRESOS TOTALES
TI.A;INGRESOS CORRIENTES
TI.A.1;TRIBUTARIOS 
TI.A.1.1;IMPUESTO DE CIRCULACIÓN Y TRÁNSITO SOBRE VEHÍCULOS DE SERVICIO PÚBLICO
TI.A.1.1.1;IMPUESTO DE CIRCULACIÓN Y TRÁNSITO SOBRE VEHÍCULOS DE SERVICIO PÚBLICO DE LA VIGENCIA ACTUAL
TI.A.1.1.2;IMPUESTO DE CIRCULACIÓN Y TRÁNSITO SOBRE VEHÍCULOS DE SERVICIO PÚBLICO DE VIGENCIAS ANTERIORES
TI.A.1.10;IMPUESTO DE ESPECTÁCULOS PÚBLICOS MUNICIPAL
TI.A.1.14.1;LICORES
TI.A.1.14.1.1;PRODUCIDOS EN EL DEPARTAMENTO
TI.A.1.14.1.2;DE PRODUCCIÓN NACIONAL
TI.A.1.14.1.3;DE PRODUCCIÓN EXTRANJERA
TI.A.1.14.2;VINOS, APERITIVOS Y SIMILARES
TI.A.1.14.2.1;DE PRODUCCIÓN NACIONAL
TI.A.1.14.2.2;DE PRODUCCIÓN EXTRANJERA
TI.A.1.15.1;IVA LICORES-SALUD
TI.A.1.15.2;IVA LICORES-DEPORTE
TI.A.1.16.1;DE PRODUCCIÓN NACIONAL
TI.A.1.16.2;DE PRODUCCIÓN EXTRANJERA
TI.A.1.17.1;DE PRODUCCIÓN NACIONAL
TI.A.1.17.2;DE PRODUCCIÓN EXTRANJERA
TI.A.1.18.1;DE PRODUCCIÓN NACIONAL
TI.A.1.18.2;DE PRODUCCIÓN EXTRANJERA
TI.A.1.19.1;DE PRODUCTOS NACIONALES
TI.A.1.19.2;DE PRODUCTOS EXTRANJEROS
TI.A.1.2;VEHÍCULOS AUTOMOTORES
TI.A.1.2.1;VEHÍCULOS AUTOMOTORES VIGENCIA ACTUAL
TI.A.1.2.2;VEHÍCULOS AUTOMOTORES VIGENCIAS ANTERIORES
TI.A.1.20;IMPUESTO A LAS VENTAS POR EL SISTEMA DE CLUBES
TI.A.1.21;IMPUESTO DE CASINOS
TI.A.1.22;IMPUESTO SOBRE APUESTAS MUTUAS
TI.A.1.23;DEGÜELLO DE GANADO MENOR
TI.A.1.25;SOBRETASA BOMBERIL
TI.A.1.26;SOBRETASA A LA GASOLINA
TI.A.1.27;IMPUESTO SOBRE TELÉFONOS URBANOS
TI.A.1.28;ESTAMPILLAS
TI.A.1.28.1;PRO DOTACIÓN Y FUNCIONAMIENTO DE CENTROS BIENESTAR DEL ANCIANO
TI.A.1.28.2;PRO ELECTRIFICACIÓN RURAL
TI.A.1.28.3;PRO SEGURIDAD ALIMENTARIA Y DESARROLLO RURAL 
TI.A.1.28.4;PRO CULTURA
TI.A.1.28.8;PRO UNIVERSIDADES PÚBLICAS
TI.A.1.28.9;OTRAS ESTAMPILLAS
