10,Recursos Corrientes xx
11,Otros Recursos del Tesoro
12,Recursos para preservar la seguridad
13,Recursos del Crédito Externo AC
14,Préstamos de Destinación Específica (1)
15,Donaciones
16,Fondos Especiales
17,Rentas Parafiscales
18,Préstamos de Destinación Específica (2)
19,Donaciones Internas
20,Ingresos Corrientes
21,Otros Recursos de la Tesorería
22,Recursos del Crédito Interno ED
23,Recursos Del Crédito Externo ED
24,Préstamos de Destinación Específica ED
25,Donaciones ED
26,Fondos Especiales ED
27,Contribuciones Parafiscales
