10;Recursos Corrientes
11;Otros Recursos del Tesoro
12;Recursos para preservar la seguridad
13;Recursos del Credito Externo AC
14;Prestamos de Destinacion Especifica (1)
15;Donaciones
16;Fondos Especiales
17;Rentas Parafiscales
18;Prestamos de Destinacion Especifica (2)
19;Donaciones Internas
20;Ingresos Corrientes
21;Otros Recursos de la Tesoreria
22;Recursos del Credito Interno ED
23;Recursos Del Credito Externo ED
24;Prestamos de Destinacion Especifica ED
25;Donaciones ED
26;Fondos Especiales ED
27;Contribuciones Parafiscales
