"03";"PRESUPUESTO DE GASTOS DE FUNCIONAMIENTO (INICIAL)";"";"";"";"";"";"";"";"";"";""
"0320";"GASTOS DE PERSONAL APROBADOS (CR)";"0331";"GASTOS DE PERSONAL POR EJECUTAR (DB)";"0350";"GASTOS DE PERSONAL COMPROMETIDOS (DB)";"0360";"OBLIGACIONES EN GASTOS DE PERSONAL (DB)";"0370";"PAGOS EN EFECTIVO POR GASTOS DE PERSONAL (DB)";"0378";"EJECUCION DE GASTOS DE FUNCIONAMIENTO SIN FLUJO DE EFECTIVO (DB)"
"032001";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - SUELDOS DE PERSONAL DE NOMINA";"033101";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - SUELDOS DE PERSONAL DE NOMINA";"035001";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - SUELDOS DE PERSONAL DE NOMINA";"036001";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - SUELDOS DE PERSONAL DE NOMINA";"037001";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - SUELDOS DE PERSONAL DE NOMINA";"037801";"GASTOS DE PERSONAL"
"032002";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - PRIMA TECNICA";"033102";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - PRIMA TECNICA";"035002";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - PRIMA TECNICA";"036002";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - PRIMA TECNICA";"037002";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - PRIMA TECNICA";"037801";"GASTOS DE PERSONAL"
"032003";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS";"033103";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS";"035003";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS";"036003";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS";"037003";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS";"037801";"GASTOS DE PERSONAL"
"032004";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS GASTOS PERSONALES (DISTRIBUCION PREVIO CONCEPTO DGPPN)";"033104";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS GASTOS PERSONALES (DISTRIBUCION PREVIO CONCEPTO DGPPN)";"035004";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS GASTOS PERSONALES (DISTRIBUCION PREVIO CONCEPTO DGPPN)";"036004";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS GASTOS PERSONALES (DISTRIBUCION PREVIO CONCEPTO DGPPN)";"037004";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - OTROS GASTOS PERSONALES (DISTRIBUCION PREVIO CONCEPTO DGPPN)";"037801";"GASTOS DE PERSONAL"
"032005";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES";"033105";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES";"035005";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES";"036005";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES";"037005";"SERVICIOS PERSONALES ASOCIADOS A LA NOMINA - HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES";"037801";"GASTOS DE PERSONAL"
"032006";"SERVICIOS PERSONALES INDIRECTOS - JORNALES";"033106";"SERVICIOS PERSONALES INDIRECTOS - JORNALES";"035006";"SERVICIOS PERSONALES INDIRECTOS - JORNALES";"036006";"SERVICIOS PERSONALES INDIRECTOS - JORNALES";"037006";"SERVICIOS PERSONALES INDIRECTOS - JORNALES";"037801";"GASTOS DE PERSONAL"
"032007";"SERVICIOS PERSONALES INDIRECTOS - GASTOS DE PERSONAL SUPERNUMERARIO";"033107";"SERVICIOS PERSONALES INDIRECTOS - GASTOS DE PERSONAL SUPERNUMERARIO";"035007";"SERVICIOS PERSONALES INDIRECTOS - GASTOS DE PERSONAL SUPERNUMERARIO";"036007";"SERVICIOS PERSONALES INDIRECTOS - GASTOS DE PERSONAL SUPERNUMERARIO";"037007";"SERVICIOS PERSONALES INDIRECTOS - GASTOS DE PERSONAL SUPERNUMERARIO";"037801";"GASTOS DE PERSONAL"
"032008";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS";"033108";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS";"035008";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS";"036008";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS";"037008";"SERVICIOS PERSONALES INDIRECTOS - HONORARIOS";"037801";"GASTOS DE PERSONAL"
