"02";"PRESUPUESTO DE INGRESOS Y TESORERÍA";"";"";"";"";"";"";"";""
"0202";"INGRESOS TRIBUTARIOS APROBADOS (DB)";"0216";"INGRESOS TRIBUTARIOS POR EJECUTAR (CR)";"0223";""""RECAUDOS EN EFECTIVO"" POR INGRESOS TRIBUTARIOS (CR)"";"0231";"EJECUCIÓN EN TÍTULOS, BIENES, COMPENSACIONES Y OTROS  (CR)";"0243";"RECAUDOS DE INGRESOS NO AFORADOS (DB)"
"020208";"IMPUESTO A LA EXPLOTACIÓN DE ORO, PLATA Y AL PLATINO";"021608";"IMPUESTO A LA EXPLOTACIÓN DE ORO, PLATA Y AL PLATINO";"022308";"IMPUESTO A LA EXPLOTACIÓN DE ORO, PLATA Y AL PLATINO";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020214";"SOBRETASA A LA GASOLINA";"021614";"SOBRETASA A LA GASOLINA";"022314";"SOBRETASA A LA GASOLINA";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020225";"IMPUESTO DE REGISTRO";"021625";"IMPUESTO DE REGISTRO";"022325";"IMPUESTO DE REGISTRO";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020229";"IMPUESTO SOBRE JUEGO DE APUESTAS PERMANENTE - CHANCE";"021629";"IMPUESTO SOBRE JUEGO DE APUESTAS PERMANENTE - CHANCE";"022329";"IMPUESTO SOBRE JUEGO DE APUESTAS PERMANENTE - CHANCE";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020230";"IMPUESTO SOBRE VEHÍCULOS AUTOMOTORES";"021630";"IMPUESTO SOBRE VEHÍCULOS AUTOMOTORES";"022330";"IMPUESTO SOBRE VEHÍCULOS AUTOMOTORES";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020238";"DERECHOS DE EXPLOTACIÓN DE JUEGOS DE SUERTE Y AZAR";"021638";"DERECHOS DE EXPLOTACIÓN DE JUEGOS DE SUERTE Y AZAR";"022338";"DERECHOS DE EXPLOTACIÓN DE JUEGOS DE SUERTE Y AZAR";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020240";"IMPUESTO PREDIAL UNIFICADO";"021640";"IMPUESTO PREDIAL UNIFICADO";"022340";"IMPUESTO PREDIAL UNIFICADO";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020241";"IMPUESTO DE INDUSTRIA Y COMERCIO";"021641";"IMPUESTO DE INDUSTRIA Y COMERCIO";"022341";"IMPUESTO DE INDUSTRIA Y COMERCIO";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020242";"IMPUESTO DE AVISOS Y TABLEROS";"021642";"IMPUESTO DE AVISOS Y TABLEROS";"022342";"IMPUESTO DE AVISOS Y TABLEROS";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020243";"IMPUESTO A LA PUBLICIDAD EXTERIOR VISUAL";"021643";"IMPUESTO A PUBLICIDAD EXTERIOR VISUAL";"022343";"IMPUESTO A PUBLICIDAD EXTERIOR VISUAL";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
"020244";"IMPUESTO A JUEGOS PROMOCIONALES";"021644";"IMPUESTO A JUEGOS PROMOCIONALES";"022344";"IMPUESTO A JUEGOS PROMOCIONALES";"023101";"INGRESOS TRIBUTARIOS";"024301";"INGRESOS TRIBUTARIOS"
