000000000000000,NO APLICA
010101000000000,CONGRESO DE LA REPÚBLICA
010101010000000,SENADO DE LA REPÚBLICA - GESTIÓN GENERAL
010101020000000,CÁMARA DE REPRESENTANTES - GESTIÓN GENERAL
010201010000000,DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPÚBLICA -DAPRE- GESTIÓN GENERAL
010301010000000,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN -DNP- GESTIÓN GENERAL
010301030000000,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN -DNP- UNIDAD ADMINISTRATIVA ESPECIAL UDT
010401010000000,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA -DANE- GESTIÓN GENERAL
010501010000000,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA -DAFP- GESTIÓN GENERAL
010601010000000,DEPARTAMENTO ADMINISTRATIVO DE SEGURIDAD -DAS- GESTIÓN GENERAL
010901010000000,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE LA ECONOMÍA SOLIDARIA -DANSOCIAL- GESTIÓN GENERAL
011001050000000,OFICINA DE ATENCIÓN DE DESASTRES
011101010000000,MINISTERIO DE RELACIONES EXTERIORES - GESTIÓN GENERAL
011301010000000,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO - GESTIÓN GENERAL
011401000000000,SERVICIO DE LA DEUDA PÚBLICA NACIONAL
011501010000000,MINISTERIO DE DEFENSA NACIONAL - GESTIÓN GENERAL
011501020000000,MINISTERIO DE DEFENSA NACIONAL - COMANDO GENERAL
011501030000000,MINISTERIO DE DEFENSA NACIONAL - EJÉRCITO
011501040000000,MINISTERIO DE DEFENSA NACIONAL - ARMADA
011501050000000,MINISTERIO DE DEFENSA NACIONAL - FUERZA AÉREA
011501090000000,MINISTERIO DE DEFENSA NACIONAL - SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA
011501100000000,MINISTERIO DE DEFENSA NACIONAL - COMISIONADO NACIONAL PARA LA POLICÍA
011501110000000,MINISTERIO DE DEFENSA NACIONAL - SALUD
011601010000000,POLICÍA NACIONAL - GESTIÓN GENERAL
011601020000000,POLICÍA NACIONAL - SALUD
011701010000000,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL - GESTIÓN GENERAL
012101010000000,MINISTERIO DE MINAS Y ENERGÍA - GESTIÓN GENERAL
012201010000000,MINISTERIO DE EDUCACIÓN NACIONAL - GESTIÓN GENERAL
012301010000000,MINISTERIO DE COMUNICACIONES - GESTIÓN GENERAL
012401010000000,MINISTERIO DEL TRANSPORTE - GESTIÓN GENERAL
012401040000000,MINISTERIO DEL TRANSPORTE - SUPERINTENDENCIA DE PUERTOS Y TRANSPORTE
012501010000000,PROCURADURÍA GENERAL DE LA NACIÓN - MINISTERIO PÚBLICO - GESTIÓN GENERAL
