S,,10103,2016,PROGRAMACIONDEGASTOS,,,,,,,,,,,,,
CONTROL,CONCEPTOS,VIGENCIA,RECURSOS,ORIEGEN,DESTINACION,FINALIDAD,INICIAL,ADICIONES,REDUCIONES,CANCELACIONES,CREDITOS,CONTRACREDITOS,APLAAMIENTOS,DESAPLAZAMIENTOS,DEFINITIVO,CDPS,REVERSION CDPS
D,2.1.01.01.01.01,1,10,001,106,70111,3412930000,0,0,0,0,481783545,0,0,2931146455,632969628,0
D,2.1.01.01.03,1,10,001,106,70111,11000000,0,0,0,0,0,0,0,11000000,2100000,0
D,2.1.01.01.05,1,10,001,106,70111,0,0,0,0,131783545,0,0,0,131783545,34733057,0
D,2.1.01.01.07,1,10,001,106,70111,16800000,0,0,0,0,0,0,0,16800000,1893068,0
D,2.1.01.01.09,1,10,001,106,70111,38800000,0,0,0,0,0,0,0,38800000,0,0
D,2.1.01.01.17,1,10,001,106,70111,336745001,0,0,0,0,0,0,0,336745001,0,0
D,2.1.01.01.19,1,10,001,106,70111,155920001,0,0,0,0,0,0,0,155920001,0,0
D,2.1.01.01.21,1,10,001,106,70111,162639505,0,0,0,0,0,0,0,162639505,16200802,0
D,2.1.01.01.31,1,10,001,106,70111,189000000,0,0,0,0,0,0,0,189000000,16019150,0
D,2.1.01.01.33,1,10,001,106,70111,109479976,0,0,0,0,0,0,0,109479976,13456941,0
D,2.1.01.01.98,1,10,001,106,70111,1033157162,0,0,0,0,0,0,0,1033157162,178937022,0
D,2.1.01.02.03,1,10,001,106,70111,500000000,0,0,0,0,75000000,0,0,425000000,339255000,0
D,2.1.01.02.07,1,10,001,106,70111,50000000,0,0,0,0,0,0,0,50000000,0,0
D,2.1.01.02.09,1,10,001,106,70111,278674922,0,0,0,0,0,0,0,278674922,73283663,0
D,2.1.01.02.98,1,10,001,106,70111,1000000000,0,0,0,0,75000000,0,0,925000000,838868645,1120000
D,2.1.01.03.01.01.03.01,1,10,001,106,70111,385860924,0,0,0,0,0,0,0,385860924,71675308,0
D,2.1.01.03.01.01.05.01,1,10,001,106,70111,317938840,0,0,0,0,0,0,0,317938840,58843925,0
D,2.1.01.03.01.03.01,1,10,001,106,70111,28542147,0,0,0,0,0,0,0,28542147,3182600,0
D,2.1.01.03.01.03.03,1,10,001,106,70111,140904270,0,0,0,0,0,0,0,140904270,19097300,0
D,2.1.01.03.01.03.05,1,10,001,106,70111,28542147,0,0,0,0,0,0,0,28542147,3182600,0
D,2.1.01.03.01.03.07,1,10,001,106,70111,54193950,0,0,0,0,0,0,0,54193950,6361500,0
D,2.1.01.03.03.01.01,1,10,001,106,70111,352333278,0,0,0,0,0,0,0,352333278,140009731,0
D,2.1.01.03.03.03,1,10,001,106,70111,227614590,0,0,0,0,0,0,0,227614590,25467600,0
D,2.1.02.01.01,1,10,001,106,70111,300000000,0,0,0,0,0,0,0,300000000,99500000,0
D,2.1.02.01.03,1,10,001,106,70111,150000000,0,0,0,0,0,0,0,150000000,23000000,0
D,2.1.02.01.05,1,10,001,106,70111,150000000,0,0,0,0,0,0,0,150000000,0,0
D,2.1.02.01.98,1,10,001,106,70111,5000000,0,0,0,0,0,0,0,5000000,0,0
D,2.1.02.02.03,1,10,001,106,70111,200000000,0,0,0,0,0,0,0,200000000,11792880,0
D,2.1.02.02.05,1,10,001,106,70111,75000000,0,0,0,0,0,0,0,75000000,34630000,0
D,2.1.02.02.06,1,10,001,099,70111,25000000,0,0,0,0,0,0,0,25000000,1261638,0
D,2.1.02.02.07,1,10,001,106,70111,450000000,0,0,0,0,0,0,0,450000000,52363669,0
D,2.1.02.02.09,1,10,001,106,70111,445449997,0,0,0,0,0,0,0,445449997,3875600,0
D,2.1.02.02.10,1,10,001,099,70111,20000000,0,0,0,0,0,0,0,20000000,16000000,0
D,2.1.02.02.13,1,10,001,106,70111,270000000,0,0,0,0,0,0,0,270000000,81000000,0
D,2.1.02.02.13,2,10,001,106,70111,14845000,0,0,0,0,0,0,0,14845000,0,0
D,2.1.02.02.15,1,10,001,106,70111,170000000,0,0,0,0,0,0,0,170000000,12500000,0
D,2.1.02.02.21,1,10,001,106,70111,100000000,0,0,0,0,0,0,0,100000000,48500000,0
D,2.1.02.02.23,1,10,001,106,70111,5000000,0,0,0,0,0,0,0,5000000,0,0
D,2.1.02.02.27,1,10,001,106,70111,95000000,0,0,0,0,0,0,0,95000000,0,0
D,2.1.02.02.29,1,10,001,106,70111,460262269,0,0,0,0,0,0,0,460262269,1457476,0
D,2.1.02.02.98,1,10,001,106,70111,775001000,0,0,0,0,0,0,0,775001000,254249754,1000000
D,2.1.02.03,1,10,002,106,70111,8000000,0,0,0,0,0,0,0,8000000,8000000,0
D,2.1.02.03,1,10,005,106,70111,50000000,0,0,0,0,0,0,0,50000000,2000000,0
D,2.1.02.03,1,10,006,106,70111,8000000,0,0,0,0,0,0,0,8000000,0,0
D,2.1.03.01.01.03.01.01.01,1,10,002,017,70111,973599169,0,0,0,0,0,0,0,973599169,0,0
D,2.1.03.01.01.03.01.01.01,1,10,047,017,70111,251963325,0,0,0,0,0,0,0,251963325,0,0
D,2.1.03.01.05.03.01.01.03,1,10,001,074,7036,225000000,0,0,0,0,0,0,0,225000000,3107945,0
D,2.1.03.01.05.03.01.01.03,1,10,002,017,70111,454633395,0,0,0,0,0,0,0,454633395,130000000,0
D,2.1.03.02.03.01,1,10,001,106,70111,1010000000,0,0,0,0,0,0,0,1010000000,186121027,0
D,2.1.03.02.03.01,4,10,001,106,70111,100000000,0,0,0,0,0,0,0,100000000,0,0
D,2.1.03.02.03.03,1,10,001,002,7098,1000,0,0,0,0,0,0,0,1000,0,0
D,2.1.03.02.03.03,1,10,001,105,70111,125000000,0,0,0,0,0,0,0,125000000,0,0
D,2.1.03.02.03.03,1,10,011,105,70111,25000000,0,0,0,0,0,0,0,25000000,0,0
D,2.1.03.02.05,1,10,001,106,70111,54193950,0,0,0,0,0,0,0,54193950,4889600,0
D,2.1.03.02.98,1,10,001,002,7098,1000,0,0,0,0,0,0,0,1000,0,0
D,2.1.03.95.01.01,1,10,048,070,7081,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.95.01.01,1,10,048,095,7066,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.95.01.11,1,10,048,099,70111,0,110907238,0,0,0,0,0,0,110907238,110907238,44084170
D,2.1.03.95.03,1,10,048,048,7045101,0,671875000,0,0,0,0,0,0,671875000,671875000,110790560
D,2.1.03.95.03,1,10,048,049,7042101,0,112198289,0,0,0,0,0,0,112198289,112198289,19000
D,2.1.03.95.03,1,10,048,054,7062,0,1260413455,0,0,0,0,0,0,1260413455,1260413455,751696
D,2.1.03.95.03,1,10,048,055,7074,0,99827866,0,0,0,0,0,0,99827866,99827866,0
D,2.1.03.95.03,1,10,048,070,7062,0,134091368,0,0,0,0,0,0,134091368,134091368,0
D,2.1.03.95.03,1,10,048,095,7066,1,300000000,0,0,0,0,0,0,300000001,302845000,9565028
D,2.1.03.95.09,1,10,048,070,7081,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.95.09,1,10,048,095,7066,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.95.11,1,10,048,070,7081,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.95.11,1,10,048,095,7066,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.95.13,1,10,048,011,7074,2,197940395,0,0,0,0,0,0,197940397,186375639,0
D,2.1.03.95.13,1,10,048,048,7045101,0,752938750,0,0,0,0,0,0,752938750,752938750,0
D,2.1.03.95.13,1,10,048,048,7082,0,80640000,0,0,0,0,0,0,80640000,80606500,0
D,2.1.03.95.13,1,10,048,049,7042101,0,412311711,0,0,0,0,0,0,412311711,412311711,0
D,2.1.03.95.13,1,10,048,054,7062,0,74069886,0,0,0,0,0,0,74069886,74069886,74286
D,2.1.03.95.13,1,10,048,055,7074,1,387605783,0,0,3993115,3993115,0,0,387605784,386653995,2349000
D,2.1.03.95.13,1,10,048,070,7081,0,585430946,0,0,0,0,0,0,585430946,574935648,839804
D,2.1.03.95.13,1,10,048,095,7066,2,0,0,0,0,0,0,0,2,0,0
D,2.1.03.98.11,1,10,001,106,70111,20000000,0,0,0,0,0,0,0,20000000,11920475,0
D,2.1.03.98.98,1,10,001,106,70111,10000000,0,0,0,0,0,0,0,10000000,0,0
D,2.1.03.98.98,1,10,003,106,70111,320146642,0,0,0,0,0,0,0,320146642,0,0
D,2.1.96,1,10,001,106,70111,655000000,0,0,0,0,0,0,0,655000000,0,0
D,2.3.01.01.01.01,1,10,037,066,70474,2000,0,0,0,0,0,0,0,2000,0,0
D,2.3.01.01.01.01,1,10,048,054,7062,0,320771143,0,0,0,0,0,0,320771143,223815218,0
D,2.3.01.01.01.01,1,11,042,066,70474,100007000,0,0,0,0,0,0,0,100007000,0,0
D,2.3.01.01.01.13,1,10,013,022,7063,210000000,0,0,0,0,0,0,0,210000000,0,0
D,2.3.01.01.01.13,1,10,019,022,7063,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.01.01.01.15,1,10,013,024,7063,200000000,0,0,0,0,0,0,0,200000000,0,0
D,2.3.01.01.01.15,2,10,013,024,7063,146354851,0,0,0,0,0,0,0,146354851,0,0
D,2.3.01.01.01.17,1,10,001,062,70474,418305660,0,0,0,0,0,0,0,418305660,0,0
D,2.3.01.01.01.21,1,10,013,023,7051,13146460,0,0,0,0,0,0,0,13146460,0,0
D,2.3.01.01.01.31,2,11,042,039,7045101,61535000,0,0,0,0,0,0,0,61535000,0,0
D,2.3.01.01.01.33,1,10,001,039,7045101,200000000,0,0,0,0,0,0,0,200000000,117946920,0
D,2.3.01.01.01.33,1,10,013,039,7045101,2,0,0,0,0,0,0,0,2,0,0
D,2.3.01.01.01.39,1,10,019,048,7082,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.01.01.01.49,1,10,013,002,7095,300000000,0,0,0,0,0,0,0,300000000,0,0
D,2.3.01.01.01.49,1,10,019,002,7095,2000,0,0,0,0,0,0,0,2000,0,0
D,2.3.01.01.01.59,1,10,001,095,7066,262941245,0,0,0,0,0,0,0,262941245,0,0
D,2.3.01.01.01.98,1,10,001,028,7102,558368405,0,0,0,0,0,0,0,558368405,0,0
D,2.3.01.01.01.98,1,11,042,054,7062,272319590,0,0,0,0,0,0,0,272319590,0,0
D,2.3.01.01.01.98,2,10,001,028,7102,24180344,0,0,0,0,0,0,0,24180344,0,0
D,2.3.01.01.02.05,1,10,040,002,7095,66000000,0,0,0,0,0,0,0,66000000,0,0
D,2.3.01.01.02.05,2,11,042,002,7095,2373789,0,0,0,0,0,0,0,2373789,0,0
D,2.3.01.01.02.98,2,10,013,074,7036,7260268,0,0,0,0,0,0,0,7260268,0,0
D,2.3.01.01.03.01,1,10,013,081,7036,28000000,0,0,0,0,0,0,0,28000000,0,0
D,2.3.01.01.03.07,1,10,013,017,7056,250002000,0,0,0,0,0,0,0,250002000,10000000,0
D,2.3.01.01.03.07,2,10,013,017,7056,35000000,0,0,0,0,0,0,0,35000000,0,0
D,2.3.01.01.03.11,1,10,013,017,7052,50000000,0,0,0,0,0,0,0,50000000,0,0
D,2.3.01.01.03.13,1,10,013,022,7063,200000000,0,0,0,0,0,0,0,200000000,0,0
D,2.3.01.01.03.13,1,10,019,022,7063,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.01.01.03.13,2,10,013,022,7063,250000000,0,0,0,0,0,0,0,250000000,0,0
D,2.3.01.01.03.15,1,10,013,024,7063,200000000,0,0,0,0,0,0,0,200000000,0,0
D,2.3.01.01.03.15,2,10,013,024,7063,250000000,0,0,0,0,0,0,0,250000000,0,0
D,2.3.01.01.03.17,1,10,001,062,7109,65000000,0,0,0,500000000,0,0,0,565000000,533401461,0
D,2.3.01.01.03.23,1,10,040,021,7053,23000000,0,0,0,0,0,0,0,23000000,0,0
D,2.3.01.01.03.33,1,10,001,039,7045101,400000000,0,0,0,0,0,0,0,400000000,124684000,0
D,2.3.01.01.03.33,1,10,013,039,7045101,265000001,0,0,0,0,0,0,0,265000001,205000000,0
D,2.3.01.01.03.39,1,10,001,048,7082,60364678,0,0,0,0,0,0,0,60364678,0,0
D,2.3.01.01.03.49,1,10,013,002,7095,300000000,0,0,0,0,0,0,0,300000000,64429742,0
D,2.3.01.01.03.51,1,10,001,070,7081,10000000,0,0,0,0,0,0,0,10000000,0,0
D,2.3.01.01.03.51,1,10,040,070,7081,26000000,0,0,0,0,0,0,0,26000000,0,0
D,2.3.01.01.03.55,1,10,001,086,7064,2478200000,0,0,0,0,0,0,0,2478200000,4040000,0
D,2.3.01.01.03.55,1,10,013,086,7062,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.01.01.03.55,1,10,013,086,7064,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.01.01.03.98,1,10,013,027,7062,3000,0,0,0,0,0,0,0,3000,0,0
D,2.3.01.02.03,1,10,013,066,7062,60000000,0,0,0,0,0,0,0,60000000,0,0
D,2.3.02.01.01.01,1,10,001,039,7045101,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.02.01.01.01,1,10,013,039,7045101,2,0,0,0,0,0,0,0,2,0,0
D,2.3.02.01.01.07,1,10,013,002,7095,200000000,0,0,0,0,0,0,0,200000000,14533000,0
D,2.3.02.01.01.07,2,10,013,002,7095,20640000,0,0,0,0,0,0,0,20640000,0,0
D,2.3.02.01.01.09,1,10,013,002,7095,100000000,0,0,0,48000000,0,0,0,148000000,0,0
D,2.3.02.01.02.01,1,10,001,039,7045101,211250000,0,0,0,0,0,0,0,211250000,0,0
D,2.3.02.01.02.01,1,10,013,039,7045101,100000000,0,0,0,0,0,0,0,100000000,12275798,0
D,2.3.02.02.01.01,1,10,013,002,7095,470000000,0,0,0,0,30000000,0,0,440000000,107135256,0
D,2.3.02.02.01.03,1,10,013,002,7095,160000000,0,0,0,32000000,0,0,0,192000000,192000000,0
D,2.3.03.01.01,1,10,013,002,7095,12000000,0,0,0,15000000,0,0,0,27000000,0,0
D,2.3.03.01.37,1,10,001,007,7094103,350000000,0,0,0,0,0,0,0,350000000,0,0
D,2.3.03.01.98,1,10,001,028,7109,100000000,0,0,0,0,0,0,0,100000000,286100,0
D,2.3.03.01.98,1,10,013,049,7042101,209150830,0,0,0,0,0,0,0,209150830,73740000,0
D,2.3.03.02.07,1,10,001,028,7102,239300744,0,0,0,0,0,0,0,239300744,11464392,0
D,2.3.03.02.07,1,10,013,028,7102,20000000,0,0,0,0,0,0,0,20000000,0,0
D,2.3.03.02.09,1,10,013,028,7062,65000000,0,0,0,0,0,0,0,65000000,65000000,0
