S,,10103,2016,EJECUCIONDEGASTOS,,,,,,,,,,,,,,,,,,
CONTROL,CONCEPTO,VIGENCIA,DEPENDENCIA,RECURSOS,ORIGEN,DESTINACION,FINALIDAD,SITUACION,No COMP,No OBLI,No PAGO,RECIPROCA,COMP ANTICIPO,COMP SIN ANTICIPO,REVER COMP,OBLIGACION,REVER OBLI,PAGOS,ANULACION PAGOS,RESERVAS,CXP,OBLI X EJEC
D,2.1.01.01.01.01,1,07,10,001,106,70111,C,464,464,464,000000000000000,0,626854904,0,626854904,0,626854904,0,0,0,0
D,2.1.01.01.03,1,07,10,001,106,70111,C,3,3,3,000000000000000,0,2100000,0,2100000,0,2100000,0,0,0,0
D,2.1.01.01.05,1,07,10,001,106,70111,C,69,69,69,000000000000000,0,34733057,0,34733057,0,34733057,0,0,0,0
D,2.1.01.01.07,1,07,10,001,106,70111,C,47,47,26,000000000000000,0,1786591,0,1452934,0,1452934,0,333657,0,0
D,2.1.01.01.17,3,07,10,001,106,70111,C,0,0,2,000000000000000,0,0,0,0,0,4786129,0,0,0,0
D,2.1.01.01.19,3,07,10,001,106,70111,C,0,0,2,000000000000000,0,0,0,0,0,1046166,0,0,0,0
D,2.1.01.01.21,1,07,10,001,106,70111,C,48,48,27,000000000000000,0,15378934,0,12543023,0,12543023,0,2835911,0,0
D,2.1.01.01.21,3,07,10,001,106,70111,C,0,0,2,000000000000000,0,0,0,0,0,2244253,0,0,0,0
D,2.1.01.01.31,1,07,10,001,106,70111,C,214,214,214,000000000000000,0,15863750,0,15863750,0,15863750,0,0,0,0
D,2.1.01.01.33,1,07,10,001,106,70111,C,98,98,98,000000000000000,0,13456941,0,13456941,0,13456941,0,0,0,0
D,2.1.01.01.33,3,07,10,001,106,70111,C,0,0,1,000000000000000,0,0,0,0,0,3870129,0,0,0,0
D,2.1.01.01.98,1,07,10,001,106,70111,C,397,395,374,000000000000000,0,177796455,0,157009898,0,157009898,0,20786557,0,0
D,2.1.01.01.98,3,07,10,001,106,70111,C,0,0,2,000000000000000,0,0,0,0,0,37871002,0,0,0,0
D,2.1.01.02.03,1,07,10,001,106,70111,C,25,26,25,000000000000000,0,234485000,0,49472455,0,49472455,0,185012545,0,0
D,2.1.01.02.03,3,07,10,001,106,70111,C,0,0,13,000000000000000,0,0,0,0,0,25670132,0,0,0,0
D,2.1.01.02.07,3,07,10,001,106,70111,C,0,0,1,000000000000000,0,0,0,0,0,1547868,0,0,0,0
D,2.1.01.02.09,1,07,10,001,106,70111,C,13,18,17,000000000000000,0,55906663,0,9923333,0,9923333,0,45983330,0,0
D,2.1.01.02.09,3,07,10,001,106,70111,C,0,0,9,000000000000000,0,0,0,0,0,14875452,0,0,0,0
D,2.1.01.02.98,1,07,10,001,106,70111,C,103,152,151,000000000000000,0,763961312,1120000,80622661,0,80622661,0,683338651,0,0
D,2.1.01.02.98,3,07,10,001,106,70111,C,0,0,136,000000000000000,0,0,0,0,0,133490950,0,0,0,0
D,2.1.01.03.01.01.03.01,1,07,10,001,106,70111,C,21,21,16,200000000000000,0,71675308,0,71675308,0,71675308,0,0,0,0
D,2.1.01.03.01.01.05.01,1,07,10,001,106,70111,C,55,55,44,200000000000000,0,58843925,0,57324525,0,57324525,0,1519400,0,0
D,2.1.01.03.01.03.01,1,07,10,001,106,70111,C,45,44,35,023602000000000,0,3182600,0,3182600,0,3182600,0,0,0,0
D,2.1.01.03.01.03.03,1,07,10,001,106,70111,C,45,44,35,023607000000000,0,19097300,0,19097300,0,19097300,0,0,0,0
D,2.1.01.03.01.03.05,1,07,10,001,106,70111,C,45,44,35,020503000000000,0,3182600,0,3182600,0,3182600,0,0,0,0
D,2.1.01.03.01.03.07,1,07,10,001,106,70111,C,45,44,35,012201010000000,0,6361500,0,6361500,0,6361500,0,0,0,0
D,2.1.01.03.03.01.01,1,07,10,001,106,70111,C,99,99,99,200000000000000,0,140009731,0,140009731,0,140009731,0,0,0,0
D,2.1.01.03.03.01.01,3,07,10,001,106,70111,C,0,0,4,200000000000000,0,0,0,0,0,5426258,0,0,0,0
D,2.1.01.03.03.03,1,07,10,001,106,70111,C,45,44,35,200000000000000,0,25467600,0,25467600,0,25467600,0,0,0,0
D,2.1.02.01.01,1,07,10,001,106,70111,C,5,4,4,000000000000000,0,4907951,0,3021901,0,3021901,0,1886050,0,0
D,2.1.02.01.01,3,07,10,001,106,70111,C,0,0,1,000000000000000,0,0,0,0,0,9160000,0,0,0,0
D,2.1.02.01.03,1,07,10,001,106,70111,C,1,0,0,000000000000000,0,21000000,0,0,0,0,0,21000000,0,0
D,2.1.02.01.05,3,07,10,001,106,70111,C,0,0,1,000000000000000,0,0,0,0,0,95636505,0,0,0,0
D,2.1.02.02.03,1,07,10,001,106,70111,C,15,25,25,000000000000000,0,6525880,0,6100280,0,5981700,0,425600,118580,0
D,2.1.02.02.05,1,07,10,001,106,70111,C,5,4,4,000000000000000,0,340900,0,340900,0,340900,0,0,0,0
D,2.1.02.02.06,1,07,10,001,099,70111,C,2,2,2,000000000000000,0,1261638,0,1261638,0,1261638,0,0,0,0
D,2.1.02.02.06,3,07,10,001,099,70111,C,0,0,4,000000000000000,0,0,0,0,0,1306998,0,0,0,0
D,2.1.02.02.07,1,07,10,001,106,70111,C,22,20,20,000000000000000,0,52363669,0,50084034,0,50084034,0,2279635,0,0
D,2.1.02.02.09,1,07,10,001,106,70111,C,1,0,0,000000000000000,0,533333,0,0,0,0,0,533333,0,0
D,2.1.02.02.10,1,07,10,001,099,70111,C,1,0,0,000000000000000,0,9066667,0,0,0,0,0,9066667,0,0
D,2.1.02.02.13,1,07,10,001,106,70111,C,8,6,6,000000000000000,0,2194858,0,1197686,0,1197686,0,997172,0,0
D,2.1.02.02.13,3,07,10,001,106,70111,C,0,0,5,000000000000000,0,0,0,0,0,18211040,0,0,0,0
D,2.1.02.02.15,1,07,10,001,106,70111,C,4,4,4,000000000000000,0,818000,0,733000,0,733000,0,85000,0,0
D,2.1.02.02.15,3,07,10,001,106,70111,C,0,0,2,000000000000000,0,0,0,0,0,15602000,0,0,0,0
D,2.1.02.02.21,1,07,10,001,106,70111,C,2,0,0,000000000000000,0,43500000,0,0,0,0,0,43500000,0,0
D,2.1.02.02.21,3,07,10,001,106,70111,C,0,0,1,000000000000000,0,0,0,0,0,370000,0,0,0,0
D,2.1.02.02.29,1,07,10,001,106,70111,C,1,1,1,000000000000000,0,1457476,0,1457476,0,1457476,0,0,0,0
D,2.1.02.02.29,3,07,10,001,106,70111,C,0,0,1,000000000000000,0,0,0,0,0,3500000,0,0,0,0
D,2.1.02.02.98,1,07,10,001,106,70111,C,11,9,9,000000000000000,0,17009354,0,8710185,0,8710185,0,8299169,0,0
D,2.1.02.02.98,3,07,10,001,106,70111,C,0,0,2,000000000000000,0,0,0,0,0,31999809,0,0,0,0
D,2.1.02.03,1,07,10,002,106,70111,C,1,1,1,000000000000000,0,8000000,0,8000000,0,8000000,0,0,0,0
D,2.1.02.03,1,07,10,005,106,70111,C,1,1,1,000000000000000,0,2000000,0,2000000,0,2000000,0,0,0,0
D,2.1.03.01.01.03.01.01.01,3,07,10,002,017,70111,C,0,0,1,023216000000000,0,0,0,0,0,9289247,0,0,0,0
D,2.1.03.01.01.03.01.01.01,3,07,10,047,017,70111,C,0,0,1,023216000000000,0,0,0,0,0,24740209,0,0,0,0
D,2.1.03.01.05.03.01.01.03,1,07,10,001,074,7036,C,6,6,6,000000000000000,0,3107945,0,3107945,0,3107945,0,0,0,0
D,2.1.03.01.05.03.01.01.03,3,07,10,001,074,7036,C,0,0,1,000000000000000,0,0,0,0,0,3349000,0,0,0,0
D,2.1.03.01.05.03.01.01.03,3,07,10,002,017,70111,C,0,0,1,200000000000000,0,0,0,0,0,8066707,0,0,0,0
D,2.1.03.02.03.01,1,07,10,001,106,70111,C,3,3,3,200000000000000,0,186121027,0,186121027,0,186121027,0,0,0,0
D,2.1.03.02.05,1,07,10,001,106,70111,C,9,9,7,000000000000000,0,4889600,0,4889600,0,4889600,0,0,0,0
D,2.1.03.95.01.11,1,07,10,048,099,70111,C,9,25,23,000000000000000,0,66823068,0,66823068,0,63823068,0,0,3000000,0
D,2.1.03.95.03,1,07,10,048,048,7045101,C,12,12,8,020325000000000,0,561084440,0,561084440,0,561084440,0,0,0,0
D,2.1.03.95.03,1,07,10,048,049,7042101,C,12,12,8,020325000000000,0,112179289,0,112179289,0,112179289,0,0,0,0
D,2.1.03.95.03,1,07,10,048,054,7062,C,12,12,8,020325000000000,0,306845526,751696,306093830,0,75878051,0,751696,230215779,0
D,2.1.03.95.03,1,07,10,048,055,7074,C,12,12,8,020325000000000,0,196822772,96994906,99827866,0,96994906,0,96994906,2832960,0
D,2.1.03.95.03,1,07,10,048,070,7062,C,12,12,8,020325000000000,0,134091368,0,134091368,0,0,0,0,134091368,0
D,2.1.03.95.03,1,07,10,048,095,7066,C,12,12,8,000000000000000,0,293279972,0,293279972,0,293279972,0,0,0,0
D,2.1.03.95.13,1,07,10,048,011,7074,C,15,22,14,020325000000000,0,186375639,0,186375639,0,128055990,0,0,58319649,0
D,2.1.03.95.13,1,07,10,048,048,7045101,C,15,22,14,020325000000000,0,752938750,0,752938750,0,752938750,0,0,0,0
D,2.1.03.95.13,1,07,10,048,048,7082,C,15,22,14,020325000000000,0,80606500,0,80606500,0,0,0,0,80606500,0
D,2.1.03.95.13,1,07,10,048,049,7042101,C,15,22,14,020325000000000,0,412311711,0,412311711,0,412311711,0,0,0,0
D,2.1.03.95.13,1,07,10,048,054,7062,C,15,22,14,020325000000000,0,73995600,0,73995600,0,73995600,0,0,0,0
D,2.1.03.95.13,1,07,10,048,055,7074,C,15,22,14,020325000000000,0,209504285,0,114804285,0,20104285,0,94700000,94700000,0
D,2.1.03.95.13,1,07,10,048,070,7081,C,15,22,14,020325000000000,0,574935648,839804,574095844,0,560182967,0,839804,13912877,0
D,2.1.03.98.11,1,07,10,001,106,70111,C,1,1,1,200000000000000,0,11920475,0,11920475,0,11920475,0,0,0,0
D,2.3.01.01.01.01,1,07,10,048,054,7062,C,1,1,1,020325000000000,0,223815218,0,223815218,0,223815218,0,0,0,0
D,2.3.01.01.01.33,1,07,10,001,039,7045101,C,1,1,1,000000000000000,0,117946920,0,0,0,0,0,117946920,0,0
D,2.3.01.01.01.33,3,07,10,037,039,7045101,C,0,0,1,000000000000000,0,0,0,0,0,16068007,0,0,0,0
D,2.3.01.01.01.49,3,14,10,013,002,7095,C,0,0,1,000000000000000,0,0,0,0,0,7714891.76,0,0,0,0
D,2.3.01.01.02.05,3,14,11,042,002,7095,C,0,0,2,000000000000000,0,0,0,0,0,180702190.4,0,0,0,0
D,2.3.01.01.03.07,3,07,10,013,017,7056,C,0,0,1,000000000000000,0,0,0,0,0,27730000,0,0,0,0
D,2.3.01.01.03.15,3,07,10,013,024,7063,C,0,0,1,000000000000000,0,0,0,0,0,16238470,0,0,0,0
D,2.3.01.01.03.17,1,07,10,001,062,7109,C,15,23,22,000000000000000,0,527641461,0,12015168,0,12015168,0,515626293,0,0
D,2.3.01.01.03.33,1,07,10,001,039,7045101,C,17,27,27,000000000000000,0,75817000,0,14703000,0,14703000,0,61114000,0,0
D,2.3.01.01.03.39,3,07,10,001,048,7082,C,0,0,1,000000000000000,0,0,0,0,0,7500000,0,0,0,0
D,2.3.01.01.03.47,3,07,10,001,065,70473,C,0,0,1,000000000000000,0,0,0,0,0,11950000,0,0,0,0
D,2.3.01.01.03.55,1,07,10,001,086,7064,S,2,0,0,000000000000000,0,4040000,0,0,0,0,0,4040000,0,0
D,2.3.01.01.03.55,3,07,10,001,086,7064,C,0,0,2,000000000000000,0,0,0,0,0,2760477,0,0,0,0
D,2.3.01.02.03,3,07,10,013,066,7062,C,0,0,1,000000000000000,0,0,0,0,0,13927299.15,0,0,0,0
D,2.3.02.01.01.07,3,14,10,013,002,7095,C,0,0,1,000000000000000,0,0,0,0,0,26560000,0,0,0,0
D,2.3.02.01.02.01,1,07,10,013,039,7045101,C,1,0,0,000000000000000,0,12275798,0,0,0,0,0,12275798,0,0
D,2.3.02.01.02.01,3,07,10,001,039,7045101,C,0,0,1,000000000000000,0,0,0,0,0,14797040,0,0,0,0
D,2.3.02.02.01.01,1,14,10,013,002,7095,C,17,17,17,000000000000000,0,98137256,0,98137256,0,98137256,0,0,0,0
D,2.3.02.02.01.03,1,14,10,013,002,7095,C,1,0,0,200000000000000,0,90000000,0,0,0,0,0,90000000,0,0
D,2.3.02.02.01.03,3,14,10,013,002,7095,C,0,0,1,200000000000000,0,0,0,0,0,6111115,0,0,0,0
D,2.3.03.01.37,3,07,10,001,007,7094103,C,0,0,1,000000000000000,0,0,0,0,0,100840000,0,0,0,0
D,2.3.03.01.98,1,07,10,001,028,7109,C,10,8,8,000000000000000,0,286100,0,286100,0,286100,0,0,0,0
D,2.3.03.01.98,1,07,10,013,049,7042101,C,10,8,8,000000000000000,0,32160000,0,0,0,0,0,32160000,0,0
D,2.3.03.01.98,3,07,10,001,028,7109,C,0,0,1,000000000000000,0,0,0,0,0,27400000,0,0,0,0
D,2.3.03.01.98,3,07,10,013,049,7042101,C,0,0,1,000000000000000,0,0,0,0,0,16776771,0,0,0,0
D,2.3.03.01.98,3,07,10,019,066,7105,C,0,0,1,000000000000000,0,0,0,0,0,1483000,0,0,0,0
D,2.3.03.02.07,1,07,10,001,028,7102,C,4,6,6,000000000000000,0,11464392,0,3664392,0,3664392,0,7800000,0,0
D,2.3.03.02.07,3,07,10,001,028,7102,C,0,0,2,000000000000000,0,0,0,0,0,2424240,0,0,0,0
D,2.3.03.02.09,1,07,10,013,028,7062,C,4,1,0,000000000000000,0,65000000,0,0,0,0,0,65000000,0,0
D,2.3.03.02.09,1,07,10,013,028,7104,C,4,1,0,000000000000000,0,42000000,0,0,0,0,0,42000000,0,0
D,2.3.03.02.09,3,07,10,013,028,7104,C,0,0,1,000000000000000,0,0,0,0,0,94739899,0,0,0,0
D,2.3.03.02.09,3,07,10,019,028,7104,C,0,0,2,000000000000000,0,0,0,0,0,5391868,0,0,0,0
D,2.3.03.02.19,3,07,10,013,028,7062,C,0,0,3,000000000000000,0,0,0,0,0,14572191,0,0,0,0
D,2.3.03.02.25,1,07,10,001,048,7082,C,5,4,4,000000000000000,0,399698280,0,384023280,0,384023280,0,15675000,0,0
D,2.3.03.02.25,1,07,10,013,048,7082,C,5,4,4,000000000000000,0,138150000,0,90000000,0,90000000,0,48150000,0,0
D,2.3.03.02.25,1,07,10,013,055,7062,C,5,4,4,000000000000000,0,80000000,0,80000000,0,80000000,0,0,0,0
D,2.3.03.02.25,1,07,10,013,095,7066,C,5,4,4,000000000000000,0,80000000,0,80000000,0,80000000,0,0,0,0
D,2.3.03.02.25,3,07,10,001,048,7082,C,0,0,1,000000000000000,0,0,0,0,0,32741000,0,0,0,0
D,2.3.03.02.25,3,07,10,013,048,7082,C,0,0,3,000000000000000,0,0,0,0,0,15057724,0,0,0,0
D,2.3.03.02.47,1,07,10,013,072,7082,C,3,3,3,000000000000000,0,50816700,0,50816700,0,50816700,0,0,0,0
D,2.3.03.02.55,1,07,10,013,083,7062,C,3,0,0,000000000000000,0,30000000,0,0,0,0,0,30000000,0,0
D,2.3.03.02.98,1,14,10,013,002,7095,S,20,21,21,000000000000000,0,898045486,0,898045486,0,898045486,0,0,0,0
D,2.3.03.02.98,1,07,10,013,055,7062,C,20,21,21,000000000000000,0,5200000,0,1300000,0,1300000,0,3900000,0,0
D,2.3.03.02.98,3,07,10,013,028,7109,C,0,0,1,000000000000000,0,0,0,0,0,12080000,0,0,0,0
D,2.3.04.01.02.98,1,07,10,013,066,7062,C,2,2,2,000000000000000,0,60000,0,60000,0,60000,0,0,0,0
D,2.3.04.04.01,1,07,10,013,066,7062,C,14,15,15,000000000000000,0,73884059,0,17393286,0,17393286,0,56490773,0,0
D,2.3.04.04.01,3,07,10,013,066,70474,C,0,0,4,000000000000000,0,0,0,0,0,2744024,0,0,0,0
D,2.3.05.02.98,3,07,10,001,066,7062,C,0,0,1,000000000000000,0,0,0,0,0,19800000,0,0,0,0
D,2.3.06.02.03,1,07,10,013,021,7063,C,5,0,0,120000005235612,0,800000000,0,0,0,0,0,800000000,0,0
D,2.3.06.02.03,3,07,10,013,021,7063,C,0,0,1,120000005235612,0,0,0,0,0,46630569.06,0,0,0,0
D,2.3.06.02.09,3,14,10,013,002,7096,C,0,0,1,023607000000000,0,0,0,0,0,393636,0,0,0,0
D,2.3.06.02.09,3,14,11,042,002,7095,C,0,0,1,000000000000000,0,0,0,0,0,29638346,0,0,0,0
D,2.3.06.02.09,4,14,10,019,002,7095,C,10,13,13,000000000000000,0,997997811,0,12061271,0,12061271,0,985936540,0,0
D,2.4.02.01.01,1,07,10,001,098,70443,C,4,4,4,000000000000000,0,258520809,0,258520809,0,258520809,0,0,0,0
D,2.4.02.01.01,1,07,10,013,098,70443,C,4,4,4,000000000000000,0,441581857,0,441581857,0,441581857,0,0,0,0
D,2.4.02.02.01,1,07,10,001,098,70443,C,5,5,4,000000000000000,0,127069075,0,127069075,0,127069075,0,0,0,0
D,2.4.02.02.01,1,07,10,013,098,70443,C,5,5,4,000000000000000,0,533871460,0,533871460,0,110395464,0,0,423475996,0
D,2.1.01.01.01.01,1,14,10,013,002,70111,C,4,4,3,000000000000000,0,70636282,0,70636282,0,70636282,0,0,0,0
D,2.1.01.01.07,1,14,10,013,002,70111,C,1,1,1,000000000000000,0,48928,0,48928,0,48928,0,0,0,0
D,2.1.01.01.21,1,14,10,013,002,70111,C,1,1,1,000000000000000,0,447913,0,447913,0,447913,0,0,0,0
D,2.1.01.01.23,1,14,10,013,002,70111,C,4,4,3,000000000000000,0,1378872,0,1378872,0,1378872,0,0,0,0
D,2.1.01.01.31,1,14,10,013,002,70111,C,4,4,3,000000000000000,0,2097900,0,2097900,0,2097900,0,0,0,0
D,2.1.01.02.03,1,14,10,013,002,70111,C,2,2,2,000000000000000,0,17127603,0,0,0,0,0,17127603,0,0
D,2.1.01.02.03,3,14,11,013,002,70111,C,0,0,1,000000000000000,0,0,0,0,0,1014000,0,0,0,0
D,2.1.01.02.09,1,14,10,013,002,70111,C,3,0,0,000000000000000,0,8079712,3529712,0,0,0,0,8079712,0,0
D,2.1.01.03.01.01.01.01,1,14,10,013,002,70111,C,3,3,0,000000000000000,0,6173617,0,6173617,0,0,0,0,6173617,0
D,2.1.01.03.01.01.03.01,1,14,10,013,002,70111,C,12,12,12,000000000000000,0,4824641,0,4824641,0,3135226,0,0,1689415,0
D,2.1.01.03.01.01.05.01,1,14,10,013,002,70111,C,25,25,25,000000000000000,0,387698,0,387698,0,251940,0,0,135758,0
D,2.1.01.03.01.03.01,1,14,10,013,002,70111,C,15,15,15,023602000000000,0,370565,0,370565,0,240982,0,0,129583,0
