Fecha,Documento,Cuenta,Tercero,Detalle,Tipo,C,Concepto,Regimen subsidiado,Salud Publica,Prestacion de servicios,Otros Inversion,Otros funcionamiento,Total
01/01/2016,,,,Saldo inicial,,D,ITFS,1186881,521435,108045,19990,73274,1909626
31/03/2016,NCON6,11100509,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,AJUSTE CHEQUES NO COBRADOS,IN,D,TFSI.A.2.19,0,0,0,0,10231,10231
31/03/2016,ROIT6,11100509,MUNICIPIO DE IPIALES,RECAUDO CUOTA PARA FUNCIONAMIENTO DE LA SECRETARIA DE SALUD,IN,D,TFSI.A.1.2,0,0,0,0,31679,31679
03/03/2016,NCON201601,11100509,MUNICIPIO DE IPIALES,DEVOLUCION Y REINTEGRO DE VIATICOS RESOLUCION 148 DEL 24 DE FEBRERO DE OMAIRA NANDAR DE LA CRUZ,IN,D,TFSI.A.2.19,0,0,0,0,103,103
29/02/2016,NCON01,11100509,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,AJUSTE POR CHEQUE GIRADO PAGADO POR MENOR VALOR A FAVOR DE SEGUROS BOLIVAR CH: 301784,IN,D,TFSI.A.2.19,0,0,0,0,4,4
03/02/2016,ROIT5,11100509,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RECAUDO CUOTA PARA FUNCIONAMIENTO DE LA SECRETARIA DE SALUD,IN,D,TFSI.A.1.2,0,0,0,0,22054,22054
29/01/2016,ROIT3,11100509,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RECAUDO ABONO A CUOTA PARA FUNCIONAMIENTO PAGO INTERESES A LAS CESANTIAS,IN,D,TFSI.A.1.2,0,0,0,0,2331,2331
31/03/2016,NCBT60,1110060209,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE MARZO DE 2016,IN,D,TFSI.B.8.2.3,0,0,0,3,0,3
29/02/2016,NCBT54,1110060209,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE FEBRERO DE 2016,IN,D,TFSI.B.8.2.3,0,0,0,3,0,3
31/01/2016,NCBT6,1110060209,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE ENERO DE 2016,IN,D,TFSI.B.8.2.3,0,0,0,3,0,3
31/03/2016,NCBT61,11101502,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE MARZO DE 2016,IN,D,TFSI.B.8.2.1.2.3,0,0,188,0,0,188
29/02/2016,NCBT29,11101502,SECRETARIA DE SALUD MUNICIPAL DE IPIALES,RENDIMIENTOS FINANCIEROS MES DE FEBRERO DE 2016,IN,D,TFSI.B.8.2.1.2.3,0,0,176,0,0,176
