CTRL,CODIGO,RAZ SOCIAL,IDENT,VIGENCIA, IMPUESTO , AVISOS , BOMBERIL , CULTURA , PATENTE , EXTEM , SANCION , INTERESES , SAL. FAV , INSENT , TOTAL , NUMERO DE RECIBO , DESCUENTO IMPUESTO , DESCUETO VALLAS , CTA BANCO 
D,410,AT TIENDA - LOCAL 13,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1401,12000,2000,1110050511
D,10026,TRITUR Y CONCRET ENOBRA,790036720,2013,3466000,520000,239000,12000,22000,0,0,0,1957000,399000,1903000,1402,347000,52000,1110050511
D,10172,TRIGOPAN,790036720,2013,123000,18000,9000,12000,22000,0,0,0,0,14000,170000,1403,12000,2000,1110050511
D,20032,DROGUERIA VICTORIA ,790036720,2013,404000,61000,28000,12000,22000,0,0,0,0,46000,481000,1404,40000,6000,1110050511
D,20072,GRANERO MARIA ISABEL ,790036720,2013,209000,31000,14000,12000,22000,0,0,0,0,54000,234000,1405,51000,3000,1110050511
D,20086,ALMACEN INGLES ,790036720,2013,315000,47000,22000,12000,22000,0,0,0,0,36000,382000,1406,31000,5000,1110050511
D,20141,ALMACEN CASABELL ,790036720,2013,3030000,455000,209000,12000,21000,0,0,0,0,348000,3379000,1407,302000,46000,1110050511
D,20149,ALMACEN EL REPUESTO DE LAS MANGUERA,790036720,2013,511000,77000,35000,11000,20000,0,0,0,34000,59000,561000,1408,51000,8000,1110050511
D,20239,ALMACEN ANHELOS ,790036720,2013,123000,18000,9000,12000,22000,0,0,0,0,14000,170000,1409,12000,2000,1110050511
D,20345,ALMACEN DE CALZADO LUCIA ,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1410,12000,2000,1110050511
D,20383,ALMACEN LUZ ,790036720,2013,124000,19000,9000,13000,22000,0,0,0,0,14000,173000,1411,12000,2000,1110050511
D,20443,CALZADO LA COMPETENCIA ,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1412,12000,2000,1110050511
D,20474,CASA BURALGO ,790036720,2013,15017000,2253000,1036000,12000,22000,0,0,0,982000,1727000,15631000,1413,1502000,225000,1110050511
D,20497,ALMACEN LEGAL ,790036720,2013,22825000,3424000,1575000,12000,22000,0,0,0,0,2625000,25233000,1414,2283000,342000,1110050511
D,20501,CALZADO MARILUZ ,790036720,2013,144000,22000,10000,12000,22000,0,0,0,0,16000,194000,1415,14000,2000,1110050511
D,20592,BERLIMOTOS LIMITADA ,790036720,2013,5626000,844000,388000,12000,22000,0,0,0,0,647000,6245000,1416,563000,84000,1110050511
D,20690,MIL NOVEDADES,790036720,2013,5000,1000,1000,0,0,0,0,0,0,0,7000,1417,0,0,1110050511
D,20690,MIL NOVEDADES,790036720,2013,118000,18000,8000,12000,21000,0,0,0,0,14000,163000,1418,12000,2000,1110050511
D,20733,CREACIONES CONSTY IPIALES,790036720,2013,138000,21000,10000,12000,21000,0,0,0,0,16000,186000,1419,14000,2000,1110050511
D,20776,TIENDA SIN NOMBRE ,790036720,2012,123000,19000,9000,13000,22000,0,0,0,0,14000,172000,1420,12000,2000,1110050511
