Cod. Pptal,Nombre Rubro,Tipo,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos
2,GASTOS ,M,,,,,,,,,,,,,,,
22,PRESUPUESTO DE GASTOS DE LA VIGENCIA ,M,,,,,,,,,,,,,,,
2204,SECCION SECTOR CENTRAL ,M,,,,,,,,,,,,,,,
220401,GASTOS DE PERSONAL ,M,,,,,,,,,,,,,,,
22040102,SERVICIOS PERSONALES INDIRECTOS ,M,,,,,,,,,,,,,,,
2204010203,Honorarios profesionales ,D,CP.F.1,100,,S,2.1.01.02.03,10,001,001,3,7062,07,000000000000000,A1,,
2204010205,Remuneracion servicios tecnicos ,D,CP.F.1,100,,C,2.1.01.02.09,10,001,001,3,7062,07,000000000000000,A1,,
2204010207,Otros servicios personales indirectos ,D,CP.F.1,100,,C,2.1.01.02.98,10,001,001,3,7062,07,000000000000000,A1,,
2204010208,Otros servicios personales indirectos (vigencias f ,D,CP.F.1,100,,C,2.1.01.02.98,10,001,001,3,7062,07,000000000000000,A1,,
220402,GASTOS GENERALES ,M,,,,,,,,,,,,,,,
22040201,ADQUISICION DE BIENES ,M,,,,,,,,,,,,,,,
2204020106,Materiales y suministros ,D,CP.F.2,100,,C,2.1.02.01.01,10,001,001,3,7062,07,000000000000000,A2,,
22040202,ADQUISICION DE SERVICIOS ,M,,,,,,,,,,,,,,,
2204020207,Mantenimiento ,D,CP.F.2,100,,C,2.1.02.02.15,10,001,001,3,7062,07,000000000000000,A2,,
2204020208,Servicios de comunicacion y transporte ,D,CP.F.2,100,,C,2.1.02.02.05,10,001,001,3,7062,07,000000000000000,A2,,
2204020209,Impresos y publicaciones ,D,CP.F.2,100,,C,2.1.02.02.13,10,001,001,3,7062,07,000000000000000,A2,,
2204020212,Arrendamientos ,D,CP.F.2,100,,C,2.1.02.02.21,10,001,001,3,7062,07,000000000000000,A2,,
2204020291,OTRAS ADQUISICIONES DE SERVICIOS ,M,,,,,,,,,,,,,,,
220402029101,Otras adquisiciones de servicios ,D,CP.F.2,100,,C,2.1.02.02.98,10,001,001,3,7062,07,000000000000000,A2,,
220402029105,Combustibles y lubricantes ,D,CP.F.2,100,,C,2.1.02.02.05,10,001,001,3,7062,07,000000000000000,A2,,
220402029112,Programas de salud ocupacional ,D,CP.F.2,100,,C,2.1.02.01.07,10,001,001,3,7062,07,000000000000000,A2,,
2205,TRANSFERENCIAS CORRIENTES ,M,,,,,,,,,,,,,,,
220503,TRANSFERENCIAS SOBRETASA BOMBERIL ,M,,,,,,,,,,,,,,,
22050301,TRANSFERENCIAS SOBRETASA BOMBERIL ,M,,,,,,,,,,,,,,,
2205030101,Transferencias sobretasa bomberil predial ,D,CP.F.3,100,,C,2.1.03.98.98,10,001,001,3,7062,07,000000000000000,A3,,
2205030102,Transferencias sobretasa bomberil industria y come ,D,CP.F.3,100,,C,2.1.03.98.98,10,001,001,3,7062,07,000000000000000,A3,,
23,GASTOS DE INVERSION ,M,,,,,,,,,,,,,,,
2301,INVERSION CON SGP FORZOSA INVERSION ,M,,,,,,,,,,,,,,,
230136,INVERSION SECTOR EDUCACION ,M,,,,,,,,,,,,,,,
23013602,CALIDAD EDUCATIVA ,M,,,,,,,,,,,,,,,
2301360201,CALIDAD EDUCATIVA - MATRICULA ,M,,,,,,,,,,,,,,,
230136020107,ADQUISICION DE EQUIPOS MATERIALES SUMINISTROS Y SE ,M,,,,,,,,,,,,,,,
23013602010701,Dotacion instituciones educativas ,D,CP.I.1.2.5,210,,C,2.3.02.01.01.01,10,013,002,3,7062,07,000000000000000,C2B,,
23013602010704,Arrendamientos ,D,CP.I.1.2.9,210,,C,2.3.02.02.01.03,10,013,002,3,7062,07,000000000000000,C2B,,
230141,INVERSION SECTOR AGUA POTABLE Y SANEAMIENTO BASICO ,M,,,,,,,,,,,,,,,
23014190,SUBSIDIOS ,M,,,,,,,,,,,,,,,
2301419001,Contribuciones para subsidios fondo de solidaridad ,D,CP.I.3.10.13_distribuir,290,,C,2.3.06.02.03,10,013,021,3,7062,07,000000000000000,C2C,,
230145,INVERSION SECTOR CULTURA ,M,,,,,,,,,,,,,,,
23014534,FOMENTO Y APOYO AL ARTE Y LA CULTURA ,M,,,,,,,,,,,,,,,
2301453401,Fomento apoyo y difusion de eventos actividades y ,D,CP.I.5.1,400,,C,2.3.03.02.25,10,013,048,3,7062,07,000000000000000,C2E,,
2302,INVERSION CON SGP PROPOSITO GENERAL - LIBRE INVERS ,M,,,,,,,,,,,,,,,
230235,INVERSION SECTOR TRANSPORTE ,M,,,,,,,,,,,,,,,
23023501,Construccion y mantenimiento de Infraestructura Pr ,M,,,,,,,,,,,,,,,
2302350105,Operacion y mantenimiento de Secretaria de Infraes ,D,CP.I.9.4 ,410,,C,2.3.01.01.03.98,10,013,043,3,7062,07,000000000000000,C2H,,
230239,INVERSION SECTOR GOBIERNO ,M,,,,,,,,,,,,,,,
23023902,ATENCION A GRUPOS VULNERABLES - POBLACION VICTIMA ,M,,,,,,,,,,,,,,,
2302390205,PLAN INTEGRADO UNICO - PIU ,M,,,,,,,,,,,,,,,
230239020501,ACCIONES HUMANITARIAS ,M,,,,,,,,,,,,,,,
23023902050101,Atencion a poblacion victima del conflicto armado ,D,CP.I.14.20.1,420,,C,2.3.03.02.98,10,013,054,3,7062,07,000000000000000,C2K,,
230240,INVERSION SECTOR AGROPECUARIO ,M,,,,,,,,,,,,,,,
23024090,INVERSION OTROS SECTORES ,M,,,,,,,,,,,,,,,
2302409003,Promover participar yo financiar proyectos de desa ,D,CP.I.8.8 ,420,,C,2.3.01.01.03.98,10,013,054,3,7062,07,000000000000000,C2J,,
2302409004,Operacion y mantenimiento de la SATA ,D,CP.I.8.6 ,420,,C,2.3.01.01.03.98,10,013,054,3,7062,07,000000000000000,C2J,,
2303,INVERSION SGP LIBRE DESTINACION ,M,,,,,,,,,,,,,,,
230335,INVERSION SECTOR TRANSPORTE ,M,,,,,,,,,,,,,,,
23033590,Construccion y mantenimiento de Infraestructura Pr ,M,,,,,,,,,,,,,,,
2303359006,Operacion y mantenimiento de secretaria de infraes ,D,CP.I.9.4 ,100,,C,2.3.01.01.03.98,10,008,054,3,7062,07,000000000000000,C2H,,
230336,INVERSION SECTOR EDUCACION ,M,,,,,,,,,,,,,,,
23033610,ALIMENTACION ESCOLAR - CONVENIO MEN ,M,,,,,,,,,,,,,,,
2303361001,Cofinanciacion Ejecucion Programa PAE (Vigencias F ,D,CP.I.1.2.10,100,,C,2.3.03.02.09,10,008,054,3,7062,07,000000000000000,C2B,,
230339,INVERSION SECTOR GOBIERNO ,M,,,,,,,,,,,,,,,
23033902,ATENCION A GRUPOS VULNERABLES ,M,,,,,,,,,,,,,,,
2303390201,PROTECCION INTEGRAL DE LA NINEZ Y ADOLESCENCIA ,M,,,,,,,,,,,,,,,
230339020101,Programas de atencion integral de la ninez y adole ,D,CP.I.14.1.5,100,,C,2.3.03.02.09,10,008,054,3,7062,07,000000000000000,C2K,,
2304,INVERSION CON RECURSOS PROPIOS ,M,,,,,,,,,,,,,,,
230401,RECURSOS PROPIOS LIBRE DESTINACION ,M,,,,,,,,,,,,,,,
23040135,INVERSION SECTOR TRANSPORTE ,M,,,,,,,,,,,,,,,
2304013501,CONSTRUCCION Y MANTENIMIENTO DE INFRAESTRUCTURA PR ,M,,,,,,,,,,,,,,,
230401350101,Construccion de vias ,D,CP.I.9.1,110,,C,2.3.01.01.01.33,10,001,054,3,7062,07,000000000000000,C1,,
230401350105,Operacion y mantenimiento de secretaria de infraes ,D,CP.I.9.4,110,,C,2.3.01.01.03.98,10,001,054,3,7062,07,000000000000000,C1,,
23040139,INVERSION SECTOR GOBIERNO ,M,,,,,,,,,,,,,,,
2304013902,ATENCION A GRUPOS VULNERABLES ,M,,,,,,,,,,,,,,,
230401390205,ATENCION Y APOYO A POBLACION VICTIMA DEL CONFLICTO ,M,,,,,,,,,,,,,,,
23040139020502,GASTOS LEY 1448 DE 2011 ,M,,,,,,,,,,,,,,,
2304013902050201,Financiacion gastos ley 1448 del 2011 (ley de vict ,D,CP.I.14.20.1,110,,C,2.3.03.02.49,10,001,054,3,7062,07,000000000000000,C1,,
23040147,OTROS SECTORES ,M,,,,,,,,,,,,,,,
2304014790,OTROS PROGRAMAS DE INVERSION ,M,,,,,,,,,,,,,,,
230401479001,INVERSION SECTOR FORTALECIMIENTO INSTITUCIONAL - I ,M,,,,,,,,,,,,,,,
23040147900101,Preinversion e inversion en proyectos encaminados ,D,CP.I.17.1 ,110,,C,2.3.01.01.03.98,10,001,054,3,7062,07,000000000000000,C1,,
