Cod. Pptal,Nombre Rubro,Tipo,Tipo gasto,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Vigencia,Fondo Local,Cod Gastos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos,Fuente recursos,Sectores inversion,Cod Cabildos,Fuente Cabildos
,,,,,,,,,,Vig. Anterior (Reserv),,,,,,,,,,,,,,,
2,GASTOS ,M,,,,,,,,,,,,,,,,,,,,,,,
21,GASTOS DE FUNCIONAMIENTO ,M,,,,,,,,,,,,,,,,,,,,,,,
2101,GASTOS DE PERSONAL ,M,,,,,,,,,,,,,,,,,,,,,,,
210101,SERVICIOS PERSONALES ASOCIADOS A LA NOMINA ,M,,,,,,,,,,,,,,,,,,,,,,,
21010101 ,Sueldos de Personal de Nomina ,D,FUNCIONAMIENTO,1.1.1.1,1,,C,ACTUAL,FSG.A.2.4.1.1.1.1,,2.1.01.01.01.01,10,001,106,1,70768,16,000000000000000,A1,TP1,,Homologar Pgcp,,,
21010104,PRIMAS LEGALES ,M,,,,,,,,,,,,,,,,,,,,,,,
2101010401 ,Prima de Navidad ,D,FUNCIONAMIENTO,1.1.1.4,1,,C,ACTUAL,FSG.A.2.4.1.1.1.4,,2.1.01.01.17,10,001,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
2101010402 ,Prima de Servicios ,D,FUNCIONAMIENTO,1.1.1.4,1,,C,ACTUAL,FSG.A.2.4.1.1.1.4,,2.1.01.01.19,10,001,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
2101010403 ,Prima de Vacaciones ,D,FUNCIONAMIENTO,1.1.1.4,1,,C,ACTUAL,FSG.A.2.4.1.1.1.4,,2.1.01.01.21,10,001,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
2101010404 ,Bonificacion por Servicios Prestados ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.11,,2.1.01.01.05,10,001,106,1,70768,16,000000000000000,A1,TP1,,Homologar Pgcp,,,
2101010405 ,Bonificacion Especial por Recreacion ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.11,,2.1.01.01.07,10,001,106,1,70768,16,000000000000000,A1,TP1,,Homologar Pgcp,,,
2101010406 ,Prima de antigüedad ,D,FUNCIONAMIENTO,1.1.1.4,1,,C,ACTUAL,FSG.A.2.4.1.1.1.4,,2.1.01.01.15,10,001,106,1,70768,16,000000000000000,A1,TP1,,Homologar Pgcp,,,
2101010407 ,Interes sobre las Cesantias ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.11,,2.1.01.03.03.01.01,10,001,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
2101010408 ,Cesantias ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.11,,2.1.01.03.03.01.01,10,001,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
21010105 ,Indemnizacion por Vacaciones ,D,FUNCIONAMIENTO,1.1.1.5,1,,C,ACTUAL,FSG.A.2.4.1.1.1.11,,2.1.01.01.33,10,008,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
21010106 ,Vacaciones ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.11,,2.1.01.01.98,10,001,106,1,70768,16,000000000000000,A1,TP3,,Homologar Pgcp,,,
21010107 ,Auxilio de Transporte ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.7,,2.1.01.01.01.01,10,001,106,1,70768,16,000000000000000,A1,TP1,,Homologar Pgcp,,,
21010109 ,Dotacion de personal ,D,FUNCIONAMIENTO,1.1.1.25,1,,C,ACTUAL,FSG.A.2.4.1.1.1.9,,2.1.01.01.98,10,001,106,1,70768,16,000000000000000,A1,C12,,Homologar Pgcp,,,
