Cod. Pptal,Nombre Rubro,Tipo,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos
2,GASTOS TOTALES ,M,,,,,,,,,,,,,,,
21,GASTOS DE FUNCIONAMIENTO ,M,,,,,,,,,,,,,,,
2103,A GASTOS DE FUNCIONAMIENTO ,M,,,,,,,,,,,,,,,
210301,3 SECCION Nº 030 ALCADIA MUNICIPAL ,M,,,,,,,,,,,,,,,
21030101,31 GASTOS DE PERSONAL ,M,,,,,,,,,,,,,,,
2103010104,3.1.4 CONTRIBUCIONES INHERENTES A LA NOMINA ,M,,,,,,,,,,,,,,,
210301010402,3.1.4.2 AL SECTOR PRIVADO ,M,,,,,,,,,,,,,,,
21030101040201,3.1.4.2.1 APORTES DE PREVISIoN SOCIAL ,M,,,,,,,,,,,,,,,
2103010104020102,3.1.4.2.1.2 aportes para pension ,D,,,,S,2.1.01.03.03.01.03,10,047,001,2,70131,7,110000005222700,,,
2103010104020103,3.1.4.2.1.3 aportes arp ,D,,,,C,2.1.01.03.03.02,10,047,001,2,70131,7,110000005222700,,,
210301010403,3.1.4.3 APORTES PARAFISCALES ,M,,,,,,,,,,,,,,,
21030101040301,3.1.4.3.1 sena ,D,,,,C,2.1.01.03.01.03.01,10,047,001,2,70131,7,110000005222700,,,
21030101040302,3.1.4.3.2 icbf ,D,,,,C,2.1.01.03.01.03.03,10,047,001,2,70131,7,110000005222700,,,
21030101040303,3.1.4.3.3 esap ,D,,,,C,2.1.01.03.01.03.05,10,047,001,2,70131,7,110000005222700,,,
21030101040304,3.1.4.3.4 cajas de compensacion familiar ,D,,,,C,2.1.01.03.03.03,10,047,001,2,70131,7,110000005222700,,,
21030101040305,3.1.4.3.5 institutos tecnicos ,D,,,,C,2.1.01.03.01.03.07,10,047,001,2,70131,7,110000005222700,,,
23,C INVERSION ,M,,,,,,,,,,,,,,,
2301,C1 INVERSION LIBRE CON RECURSOS PROPIOS ,M,,,,,,,,,,,,,,,
230117,FORTALECIMIENTO INSTITUCIONAL ,M,,,,,,,,,,,,,,,
23011702,SUB PROGRAMA FORTALECIMIENTO DE LA GESTIoN ADMINIS ,M,,,,,,,,,,,,,,,
2301170201,fortalecimiento de la gestion administrativa local ,D,,,,C,2.3.05.03,10,047,066,2,70131,7,110000005222700,,,
2302,C2 INVERSION FORZOSA CON RECURSOS DEL SGP. ,M,,,,,,,,,,,,,,,
230203,3 PROGRAMA AGUA POTABLE Y SANEAMIENTO BASICO ,M,,,,,,,,,,,,,,,
