Cod. Pptal,Nombre Rubro,Tipo,Tipo gasto,Cod FUT,Fuentes Rec,Uni Eje,Sit Fondos,Vigencia,Fondo Local,Cod Gastos,Cod CGR,Cod Recurso,OER,CDA,Vig. Gasto,Fin. Gasto,Uni Ejec,Ent Recip,Codigo SIA,Clase pago SIA,Banco Pagos,Fuente recursos,Sectores inversion,Cod Cabildos,Fuente Cabildos
,,,,,,,,,,Vig. Anterior (Reserv),,,,,,,,,,,,,,,
2,GASTOS TOTALES ,M,,,,,,,,,,,,,,,,,,,,,,,
21,I ADMINISTRACION CENTRAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2101,A GASTOS DE FUNCIONAMIENTO ,M,,,,,,,,,,,,,,,,,,,,,,,
210101,1 SECCION Nº 010 CONCEJO MUNICIPAL ,M,,,,,,,,,,,,,,,,,,,,,,,
21010101,1.1 transferencia,D,FUNCIONAMIENTO,2,2,C,C,,,,2.1.01.01.27,10,5,1,1,70111,2,1.10E+14,A3,C12,,FF10,,,
21010102,1.2 honorarios extraordinarias,D,FUNCIONAMIENTO,2,2,C,C,,,,2.1.01.02.01,10,8,1,1,70111,2,1.10E+14,A3,C12,,FF10,,,
210102,2 SECCION Nº 020 PERSONERIA MUNICIPAL ,M,,,,,,,,,,,,,,,,,,,,,,,
21010201,2.1 transferencia,D,FUNCIONAMIENTO,2,5,C,C,,,,2.1.01.01.27,10,8,1,1,70111,4,1.10E+14,A3,C12,,FF10,,,
210103,3 SECCION Nº 030 ALCADIA MUNICIPAL ,M,,,,,,,,,,,,,,,,,,,,,,,
21010301,3.1 GASTOS DE PERSONAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2101030101,3.1.1 SERVICIOS PERSONALES ASOCIADOS A LA NOMINA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.1.1.1 sueldos de personal de nomina ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.01.01,10,8,1,1,70131,7,1.10E+14,A1,TP1,,FF10,,,
2.10E+11,3.1.1.2 gastos de representación,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.01.03,10,8,1,1,70131,7,1.10E+14,A1,TP1,,FF10,,,
2.10E+11,3.1.1.4 PRIMAS LEGALES ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,3.1.1.4.1 prima de navidad,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.01.01.17,10,8,1,1,70131,7,1.10E+14,A1,TP3,,FF10,,,
2.10E+13,3.1.1.4.2 prima de vacaciones,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.01.01.21,10,8,1,1,70131,7,1.10E+14,A1,TP3,,FF10,,,
2.10E+11,3.1.1.5 indemnización por vacaciones ,D,FUNCIONAMIENTO,1,1,C,C,,,,2.1.01.01.33,10,8,1,1,70131,7,1.10E+14,A1,TP3,,FF10,,,
2.10E+11,3.1.1.6 bonificación de dirección ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.01.09,10,8,1,1,70131,7,1.10E+14,A1,TP3,,FF10,,,
2.10E+11,3.1.1.10 pago directo de intereses a las cesantias,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.03.02.01.02,10,8,1,1,70131,7,1.10E+14,A1,TP3,,FF10,,,
2101030103,3.1.3 SERVICIOS PERSONALES INDIRECTOS ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.1.3.5 otros servicios personales indirectos ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.02.98,10,8,1,1,70131,7,1.10E+14,A1,TP1,,FF10,,,
2101030104,3.1.4 CONTRIBUCIONES INHERENTES A LA NOMINA ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+11,3.1.4.2 AL SECTOR PRIVADO ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+13,3.1.4.2.1 APORTES DE PREVISIÓN SOCIAL ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+15,3.1.4.2.1.1 APORTES PARA SALUD ,M,,,,,,,,,,,,,,,,,,,,,,,
2.10E+17,3.1.4.2.1.1.1 de funcionarios de la administración central ,D,FUNCIONAMIENTO,2,1,C,C,,,,2.1.01.03.03.01.05,10,8,1,1,70131,7,1.10E+14,A1,TP2,,FF10,,,
