Cod. Pptal,Nombre Rubro,Tipo,Cod FUT,Libre/Condicio,Acto Adtvo,No. Acto Adtvo,Porcent.,Valor,Fondo Local - Ejecucion,Fondo Local - Tesoreria,Cod CGR,Cod Recurso,Cod OER,Cod CDA,Ent Recip,Cod SIA,Banco SIA,Cod Cabildos,Fuente Cabildos
1,TOTAL PRESUPUESTO DE INGRESOS,M,,,,,,,,,,,,,,,,,
11,INGRESOS NIVEL CENTRAL,M,,,,,,,,,,,,,,,,,
1101,INGRESOS CORRIENTES,M,,,,,,,,,,,,,,,,,
110101,INGRESOS TRIBUTARIOS,M,,,,,,,,,,,,,,,,,
11010101,CIRCULACION Y TRANSITO,M,,,,,,,,,,,,,,,,,
1101010101,Circulacion y Transito por transporte publico vig actual,D,,,,,0,0,,,,,,,,1115,,,
1101010102,Inscripcion rodaje,D,,,,,0,0,,,,,,,,1115,,,
1101010103,Circulacion y Transito por transporte publico vig ant,D,,,,,0,0,,,,,,,,1115,,,
11010102,PREDIAL UNIFICADO,M,,,,,,,,,,,,,,,,,
1101010201,Predial unificado vigencia actual,D,,,,,0,0,,,,,,,,1115,,,
1101010202,Predial unificado vigencias anteriores,D,,,,,0,0,,,,,,,,1115,,,
1101010203,Compensacion predial Resguardos Indigenas vig. actual,D,,,,,0,0,,,,,,,,1115,,,
1101010204,Compensacion predial Resguardos Indigenas vig. Anteriores,D,,,,,0,0,,,,,,,,1115,,,
11010103,SOBRETASA AMBIENTAL,M,,,,,,,,,,,,,,,,,
1101010301,Sobretasa ambiental vigencia atual,D,,,,,0,0,,,,,,,,1115,,,
1101010302,Sobretasa ambiental vigencia anterior,D,,,,,0,0,,,,,,,,1115,,,
11010105,INDUSTRIA Y COMERCIO,M,,,,,,,,,,,,,,,,,
1101010501,Industria y comercio vigencia actual,M,,,,,,,,,,,,,,,,,
110101050101,Actividades comerciales,D,,,,,0,0,,,,,,,,1115,,,
110101050102,Actividades industriales,D,,,,,0,0,,,,,,,,1115,,,
110101050103,Actividades del servicio,D,,,,,0,0,,,,,,,,1115,,,
110101050104,Actividades financieras,D,,,,,0,0,,,,,,,,1115,,,
1101010502,Industria y comercio vigencia anterior,M,,,,,,,,,,,,,,,,,
110101050201,Actividades comerciales,D,,,,,0,0,,,,,,,,1115,,,
110101050202,Actividades industriales,D,,,,,0,0,,,,,,,,1115,,,
110101050203,Actividades del servicio,D,,,,,0,0,,,,,,,,1115,,,
110101050204,Actividades financieras,D,,,,,0,0,,,,,,,,1115,,,
1101010503,INSCRIPCIONES INDUSTRIA Y COMERCIO,M,,,,,,,,,,,,,,,,,
110101050301,Actividades comerciales,D,,,,,0,0,,,,,,,,1115,,,
110101050302,Actividades industriales,D,,,,,0,0,,,,,,,,1115,,,
